KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
3420426;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;2;;;59501;628210.00;1145606.63;2013-12-01T00:00:00
3420434;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;3;;;59501;628229.38;1145553.25;2013-12-01T00:00:00
3420442;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;4;;;59501;628235.94;1145510.63;2013-12-01T00:00:00
3420451;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;6;;;59501;628277.94;1145455.75;2013-12-01T00:00:00
3420469;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;7;;;59501;628279.38;1145431.75;2013-12-01T00:00:00
3420477;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;8;;;59501;628303.44;1145409.38;2013-12-01T00:00:00
3420485;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;10;;;59501;628327.19;1145447.75;2013-12-01T00:00:00
3420493;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;11;;;59501;628311.36;1145474.42;2013-12-01T00:00:00
3420507;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;12;;;59501;628313.69;1145508.00;2013-12-01T00:00:00
3420515;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;13;;;59501;628292.50;1145539.75;2013-12-01T00:00:00
3420523;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;15;;;59501;628393.25;1145655.88;2013-12-01T00:00:00
3420531;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;16;;;59501;628283.38;1145684.38;2013-12-01T00:00:00
3420566;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;20;;;59501;628357.00;1145649.00;2013-12-01T00:00:00
3420574;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;21;;;59501;628264.75;1145430.25;2013-12-01T00:00:00
3420582;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;22;;;59501;628095.38;1145716.50;2013-12-01T00:00:00
3420591;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;23;;;59501;628421.00;1145678.50;2013-12-01T00:00:00
3420604;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;24;;;59501;628293.25;1145516.00;2013-12-01T00:00:00
3420621;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;26;;;59501;628252.00;1145657.38;2013-12-01T00:00:00
3420639;596973;Velk· BÌteö;;;;;3581;BezdÏkov;;;Ë.p.;27;;;59501;628242.50;1145649.25;2013-12-01T00:00:00
