Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
8876100;598771;Syrov;;;;;147575;Syrov;;;è.p.;1;;;39601;696369.86;1106349.04;2022-11-20T00:00:00
8876118;598771;Syrov;;;;;147575;Syrov;;;è.p.;2;;;39601;696358.00;1106338.50;2013-12-04T00:00:00
8876126;598771;Syrov;;;;;147575;Syrov;;;è.p.;3;;;39601;696336.92;1106331.36;2022-11-20T00:00:00
8876134;598771;Syrov;;;;;147575;Syrov;;;è.p.;4;;;39601;696316.88;1106327.50;2013-12-04T00:00:00
8876142;598771;Syrov;;;;;147575;Syrov;;;è.p.;5;;;39601;696296.50;1106320.38;2013-12-04T00:00:00
8876151;598771;Syrov;;;;;147575;Syrov;;;è.p.;6;;;39601;696282.38;1106293.88;2013-12-04T00:00:00
8876169;598771;Syrov;;;;;147575;Syrov;;;è.p.;7;;;39601;696248.75;1106287.25;2013-12-04T00:00:00
8876177;598771;Syrov;;;;;147575;Syrov;;;è.p.;8;;;39601;696228.81;1106291.25;2013-12-04T00:00:00
8876185;598771;Syrov;;;;;147575;Syrov;;;è.p.;9;;;39601;696226.63;1106334.63;2013-12-04T00:00:00
8876193;598771;Syrov;;;;;147575;Syrov;;;è.p.;10;;;39601;696218.69;1106362.50;2013-12-04T00:00:00
8876207;598771;Syrov;;;;;147575;Syrov;;;è.p.;11;;;39601;696208.69;1106381.34;2022-11-20T00:00:00
8876215;598771;Syrov;;;;;147575;Syrov;;;è.p.;12;;;39601;696265.80;1106380.03;2022-11-20T00:00:00
8876223;598771;Syrov;;;;;147575;Syrov;;;è.p.;13;;;39601;696312.00;1106392.00;2013-12-04T00:00:00
8876231;598771;Syrov;;;;;147575;Syrov;;;è.p.;14;;;39601;696336.75;1106393.38;2013-12-04T00:00:00
8876240;598771;Syrov;;;;;147575;Syrov;;;è.p.;15;;;39601;696358.44;1106398.75;2013-12-04T00:00:00
8876258;598771;Syrov;;;;;147575;Syrov;;;è.p.;16;;;39601;696373.88;1106381.50;2013-12-04T00:00:00
8876266;598771;Syrov;;;;;147575;Syrov;;;è.p.;17;;;39601;696419.44;1106370.00;2013-12-04T00:00:00
8876274;598771;Syrov;;;;;147575;Syrov;;;è.p.;18;;;39601;696446.44;1106359.38;2013-12-04T00:00:00
8876282;598771;Syrov;;;;;147575;Syrov;;;è.p.;19;;;39601;696412.17;1106396.68;2022-11-20T00:00:00
8876291;598771;Syrov;;;;;147575;Syrov;;;è.p.;21;;;39601;696162.50;1106741.50;2013-12-04T00:00:00
8876304;598771;Syrov;;;;;147575;Syrov;;;è.p.;22;;;39601;696250.24;1106415.20;2024-05-14T00:00:00
8876312;598771;Syrov;;;;;147575;Syrov;;;è.p.;23;;;39601;696442.74;1106416.68;2022-11-20T00:00:00
8876321;598771;Syrov;;;;;147575;Syrov;;;è.p.;24;;;39601;697386.50;1105222.63;2013-12-04T00:00:00
8876339;598771;Syrov;;;;;147575;Syrov;;;è.p.;25;;;39601;697492.88;1105319.38;2013-12-04T00:00:00
8876355;598771;Syrov;;;;;147575;Syrov;;;è.p.;27;;;39601;697458.13;1105373.63;2013-12-04T00:00:00
8876363;598771;Syrov;;;;;147575;Syrov;;;è.p.;28;;;39601;697594.63;1104833.00;2013-12-04T00:00:00
8876371;598771;Syrov;;;;;147575;Syrov;;;è.p.;29;;;39601;696497.31;1106272.63;2013-12-04T00:00:00
8876380;598771;Syrov;;;;;147575;Syrov;;;è.p.;30;;;39601;697542.03;1104858.38;2015-03-11T00:00:00
8876398;598771;Syrov;;;;;147575;Syrov;;;è.p.;32;;;39601;697390.06;1105313.63;2013-12-04T00:00:00
8876401;598771;Syrov;;;;;147575;Syrov;;;è.p.;33;;;39601;696452.19;1106256.75;2013-12-04T00:00:00
8876410;598771;Syrov;;;;;147575;Syrov;;;è.p.;34;;;39601;696494.63;1106175.75;2013-12-04T00:00:00
8876428;598771;Syrov;;;;;147575;Syrov;;;è.p.;36;;;39601;696505.76;1106135.60;2022-11-20T00:00:00
8876436;598771;Syrov;;;;;147575;Syrov;;;è.p.;37;;;39601;697346.63;1105316.38;2013-12-04T00:00:00
8876444;598771;Syrov;;;;;147575;Syrov;;;è.p.;38;;;39601;697385.69;1105273.50;2013-12-04T00:00:00
8876452;598771;Syrov;;;;;147575;Syrov;;;è.p.;39;;;39601;696210.25;1106262.88;2013-12-04T00:00:00
8876461;598771;Syrov;;;;;147575;Syrov;;;è.p.;40;;;39601;696452.85;1106455.12;2013-12-04T00:00:00
8876479;598771;Syrov;;;;;147575;Syrov;;;è.p.;41;;;39601;697496.00;1104887.00;2013-12-04T00:00:00
27337286;598771;Syrov;;;;;147575;Syrov;;;è.p.;42;;;39601;697448.09;1105157.49;2013-12-04T00:00:00
