KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
684465;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;2;;;33036;842737.88;1050240.63;2013-12-04T00:00:00
684473;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;3;;;33036;842637.13;1050400.25;2013-12-04T00:00:00
684481;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;4;;;33036;842676.94;1050223.13;2013-12-04T00:00:00
684490;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;6;;;33036;842625.56;1050202.50;2013-12-04T00:00:00
684503;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;7;;;33036;842621.25;1050214.13;2013-12-04T00:00:00
684511;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;9;;;33036;842541.13;1050265.88;2013-12-04T00:00:00
684520;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;10;;;33036;842612.63;1050286.13;2013-12-04T00:00:00
684538;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;14;;;33036;842695.81;1050356.13;2013-12-04T00:00:00
684546;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;15;;;33036;842751.00;1050325.25;2013-12-04T00:00:00
684554;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;16;;;33036;842745.44;1050272.50;2013-12-04T00:00:00
684562;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;17;;;33036;842669.63;1050448.63;2013-12-04T00:00:00
684571;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;18;;;33036;842707.00;1050291.13;2013-12-04T00:00:00
684589;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;19;;;33036;842607.89;1050235.15;2013-12-04T00:00:00
684597;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;22;;;33036;842729.19;1050296.63;2013-12-04T00:00:00
684601;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;23;;;33036;842719.06;1050342.50;2013-12-04T00:00:00
684619;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;25;;;33036;842712.88;1050394.00;2013-12-04T00:00:00
684627;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;26;;;33036;842637.81;1050384.88;2013-12-04T00:00:00
684635;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;27;;;33036;842789.44;1050263.25;2013-12-04T00:00:00
684643;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;29;;;33036;842747.44;1050390.25;2013-12-04T00:00:00
684651;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;30;;;33036;842697.19;1050428.63;2013-12-04T00:00:00
684660;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;31;;;33036;842655.49;1050357.76;2013-12-04T00:00:00
684678;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;32;;;33036;842605.88;1050220.25;2013-12-04T00:00:00
684686;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;33;;;33036;842528.44;1050473.75;2013-12-04T00:00:00
684694;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;34;;;33036;842666.00;1050529.25;2013-12-04T00:00:00
684708;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;35;;;33036;842610.94;1050459.88;2013-12-04T00:00:00
684716;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;38;;;33036;842625.00;1050344.00;2013-12-04T00:00:00
684724;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.ev.;12;;;33036;842767.50;1050243.00;2013-12-04T00:00:00
684732;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;39;;;33036;842737.31;1050250.25;2018-10-19T00:00:00
684741;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.ev.;15;;;33036;842666.75;1050202.88;2013-12-04T00:00:00
684759;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.p.;1;;;33036;842667.06;1050162.50;2013-12-04T00:00:00
684767;559326;Ostrov u Bezdruûic;;;;;116033;Krsov;;;Ë.ev.;19;;;33036;842702.81;1050243.50;2013-12-04T00:00:00
684775;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;1;;;33038;843643.00;1049241.25;2013-12-04T00:00:00
684783;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;2;;;33038;843615.20;1049227.29;2013-12-04T00:00:00
684791;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;3;;;33038;843587.19;1049215.25;2013-12-04T00:00:00
684805;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;4;;;33038;843585.49;1049259.04;2013-12-04T00:00:00
684813;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;5;;;33038;843612.50;1049273.88;2013-12-04T00:00:00
684821;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;8;;;33038;843705.18;1049332.40;2013-12-04T00:00:00
684830;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;10;;;33038;843728.48;1049291.35;2013-12-04T00:00:00
684848;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;11;;;33038;843725.11;1049242.86;2013-12-04T00:00:00
684856;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;14;;;33038;843658.25;1049331.75;2013-12-04T00:00:00
684864;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;16;;;33038;843627.94;1049301.75;2013-12-04T00:00:00
684872;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;17;;;33038;843704.19;1049223.13;2013-12-04T00:00:00
684881;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;18;;;33038;843737.19;1049256.88;2013-12-04T00:00:00
684899;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;19;;;33038;843688.31;1049315.00;2013-12-04T00:00:00
684902;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;21;;;33038;843721.13;1049211.75;2013-12-04T00:00:00
684911;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;23;;;33038;843705.38;1049192.50;2013-12-04T00:00:00
684929;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;25;;;33038;843533.20;1049325.61;2013-12-04T00:00:00
684937;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;28;;;33038;843792.00;1049170.98;2013-12-04T00:00:00
684945;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;29;;;33038;843776.49;1049180.44;2013-12-04T00:00:00
684953;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;31;;;33038;843593.31;1049373.50;2013-12-04T00:00:00
684961;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;32;;;33038;843574.50;1049356.38;2013-12-04T00:00:00
684970;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;33;;;33038;843627.38;1049243.88;2013-12-04T00:00:00
684988;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;34;;;33038;843756.30;1049192.23;2013-12-04T00:00:00
684996;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;36;;;33038;843598.63;1049350.25;2013-12-04T00:00:00
685003;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;40;;;33038;843408.31;1049454.50;2013-12-04T00:00:00
685011;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;41;;;33038;843396.88;1049459.00;2013-12-04T00:00:00
685020;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;1;;;33038;843488.25;1049186.25;2013-12-04T00:00:00
685038;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.p.;43;;;33038;843684.44;1049335.25;2023-12-19T00:00:00
685046;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;3;;;33038;843657.81;1049323.00;2013-12-04T00:00:00
685062;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;5;;;33038;843423.38;1049457.38;2013-12-04T00:00:00
685071;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;6;;;33038;845470.56;1049969.63;2013-12-04T00:00:00
685089;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;7;;;33038;843679.58;1049163.55;2013-12-04T00:00:00
685097;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;8;;;33038;843375.31;1049440.75;2013-12-04T00:00:00
685101;559326;Ostrov u Bezdruûic;;;;;116041;Ostrov u Bezdruûic;;;Ë.ev.;17;;;33038;843684.00;1049238.88;2013-12-04T00:00:00
685119;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;1;;;33038;840956.19;1048931.88;2013-12-04T00:00:00
685127;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;2;;;33038;841110.13;1048869.63;2013-12-04T00:00:00
685135;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;3;;;33038;841004.94;1048964.00;2013-12-04T00:00:00
685143;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;4;;;33038;841033.19;1048956.00;2013-12-04T00:00:00
685151;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;5;;;33038;841070.06;1048931.13;2013-12-04T00:00:00
685160;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;7;;;33038;841161.88;1048896.75;2013-12-04T00:00:00
685178;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;9;;;33038;840982.56;1048941.38;2013-12-04T00:00:00
685186;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;12;;;33038;841086.69;1048828.75;2013-12-04T00:00:00
685194;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;13;;;33038;841039.31;1048779.00;2013-12-04T00:00:00
685208;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;14;;;33038;840996.56;1048842.13;2013-12-04T00:00:00
685216;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;15;;;33038;841085.13;1048933.00;2013-12-04T00:00:00
685224;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;16;;;33038;840961.75;1048823.50;2013-12-04T00:00:00
685232;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;18;;;33038;840927.19;1048847.63;2013-12-04T00:00:00
685241;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;19;;;33038;840995.38;1048870.75;2013-12-04T00:00:00
685259;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;20;;;33038;840905.75;1048880.25;2013-12-04T00:00:00
685267;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;22;;;33038;841115.31;1048935.25;2013-12-04T00:00:00
685275;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;23;;;33038;840984.94;1048913.75;2013-12-04T00:00:00
685283;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;24;;;33038;841033.69;1048853.75;2013-12-04T00:00:00
685291;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;26;;;33038;841134.50;1048763.38;2013-12-04T00:00:00
685305;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;27;;;33038;841045.56;1048733.38;2013-12-04T00:00:00
685313;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;29;;;33038;841010.25;1048770.00;2013-12-04T00:00:00
685321;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;33;;;33038;841136.56;1048750.50;2013-12-04T00:00:00
685330;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;34;;;33038;840012.50;1048198.38;2013-12-04T00:00:00
685348;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;35;;;33038;841009.25;1048710.50;2013-12-04T00:00:00
685356;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;37;;;33038;841071.40;1048878.06;2013-12-04T00:00:00
685364;559326;Ostrov u Bezdruûic;;;;;116050;Pl·Ú;;;Ë.p.;38;;;33038;841101.94;1048749.88;2013-12-04T00:00:00
