Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1041398;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;1;;;33563;802481.38;1085747.50;2013-12-01T00:00:00
1041401;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;2;;;33563;802412.56;1085746.13;2013-12-01T00:00:00
1041410;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;3;;;33563;802435.81;1085810.75;2013-12-01T00:00:00
1041428;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;4;;;33563;802449.44;1085845.38;2013-12-01T00:00:00
1041436;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;5;;;33563;802422.88;1085866.00;2013-12-01T00:00:00
1041452;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;7;;;33563;802338.13;1085881.13;2013-12-01T00:00:00
1041461;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;8;;;33563;802376.13;1085931.63;2013-12-01T00:00:00
1041479;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;9;;;33563;802225.69;1085914.00;2013-12-01T00:00:00
1041487;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;10;;;33563;802212.81;1085933.63;2013-12-01T00:00:00
1041495;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;11;;;33563;802181.63;1085952.00;2013-12-01T00:00:00
1041509;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;12;;;33563;802292.56;1085968.25;2013-12-01T00:00:00
1041517;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;13;;;33563;802298.69;1085990.38;2013-12-01T00:00:00
1041525;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;14;;;33563;802314.63;1085996.38;2013-12-01T00:00:00
1041533;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;15;;;33563;802338.38;1085995.75;2013-12-01T00:00:00
1041541;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;16;;;33563;802377.69;1085978.38;2013-12-01T00:00:00
1041550;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;18;;;33563;802227.06;1086039.13;2013-12-01T00:00:00
1041568;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;19;;;33563;802337.44;1085944.75;2013-12-01T00:00:00
1041576;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;20;;;33563;802305.94;1085942.38;2013-12-01T00:00:00
1041584;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;21;;;33563;802398.44;1085960.00;2013-12-01T00:00:00
1041592;558362;Spбlenй Poшнин;;;;;23515;Иниov;;;и.p.;22;;;33563;802414.13;1085977.00;2013-12-01T00:00:00
