Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
20010532;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;1;;;37348;769733.39;1153674.69;2013-12-07T00:00:00
20010541;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;2;;;37348;769727.37;1153702.35;2025-09-08T00:00:00
20010559;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;3;;;37348;769729.97;1153720.04;2013-12-07T00:00:00
20010567;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;4;;;37348;769730.06;1153739.30;2013-12-07T00:00:00
20010575;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;6;;;37348;769726.25;1153777.85;2013-12-07T00:00:00
20010583;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;7;;;37348;769724.08;1153797.80;2013-12-07T00:00:00
20010591;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;8;;;37348;769722.75;1153811.82;2013-12-07T00:00:00
20010605;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;9;;;37348;769719.75;1153845.10;2013-12-07T00:00:00
20010613;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;10;;;37348;769722.44;1153833.13;2013-12-07T00:00:00
20010621;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;11;;;37348;769712.12;1153869.39;2013-12-07T00:00:00
20010630;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;12;;;37348;769710.53;1153880.37;2013-12-07T00:00:00
20010648;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;13;;;37348;769687.50;1153911.44;2013-12-07T00:00:00
20010656;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;14;;;37348;769664.08;1153890.29;2021-03-30T00:00:00
20010664;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;15;;;37348;769648.03;1153877.65;2013-12-07T00:00:00
20010672;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;16;;;37348;769610.23;1153874.72;2013-12-07T00:00:00
20010681;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;17;;;37348;769577.76;1153876.91;2013-12-07T00:00:00
20010699;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;18;;;37348;769711.02;1153912.85;2013-12-07T00:00:00
20010702;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;19;;;37348;769604.87;1153832.83;2013-12-07T00:00:00
20010711;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;20;;;37348;769612.74;1153792.11;2016-05-25T00:00:00
20010729;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;21;;;37348;769588.78;1153751.42;2013-12-07T00:00:00
20010737;535851;Hlavatce;;;;;146684;Hlavatce;;;è.p.;22;;;37348;769584.99;1153723.36;2013-12-07T00:00:00
