Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
7969236;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;173;;;78975;564047.33;1086275.88;2013-12-04T00:00:00
7969244;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;174;;;78975;564015.02;1086313.08;2013-12-04T00:00:00
7969252;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;175;;;78975;564213.69;1086688.11;2013-12-04T00:00:00
7969261;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;176;;;78975;563883.80;1085765.28;2013-12-04T00:00:00
7969279;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;177;;;78975;563766.96;1085720.36;2013-12-04T00:00:00
7969287;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;178;;;78975;564073.05;1086228.07;2013-12-04T00:00:00
7969295;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;179;;;78975;564088.67;1086349.13;2013-12-04T00:00:00
7969309;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;180;;;78975;564199.89;1086292.24;2013-12-04T00:00:00
7969317;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;181;;;78975;564203.47;1086262.04;2013-12-04T00:00:00
7969325;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;182;;;78975;564143.09;1086141.90;2013-12-04T00:00:00
7969333;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;183;;;78975;564375.98;1086495.21;2013-12-04T00:00:00
7969341;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;184;;;78975;563897.25;1085516.95;2013-12-04T00:00:00
7969350;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;185;;;78975;564144.97;1086267.48;2013-12-04T00:00:00
7969368;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;187;;;78975;563994.45;1086318.13;2013-12-04T00:00:00
7969376;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;188;;;78975;563991.06;1086275.80;2013-12-04T00:00:00
7969384;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;190;;;78975;563988.42;1086236.33;2013-12-04T00:00:00
7969392;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;1;;;78975;564626.31;1085931.25;2022-10-13T00:00:00
7969406;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;2;;;78975;564608.96;1085931.04;2022-10-13T00:00:00
7969414;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;3;;;78975;564591.92;1085939.85;2022-10-13T00:00:00
7969422;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;4;;;78975;564548.40;1085916.07;2014-06-05T00:00:00
7969431;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;5;;;78975;564548.88;1085894.61;2022-10-13T00:00:00
7969449;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;6;;;78975;564544.99;1085876.30;2022-10-13T00:00:00
7969457;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;7;;;78975;564544.69;1085855.94;2022-10-13T00:00:00
7969465;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;8;;;78975;564539.05;1085838.92;2014-06-05T00:00:00
7969473;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;9;;;78975;564628.00;1085956.55;2022-10-13T00:00:00
7969481;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;10;;;78975;564603.52;1085956.85;2022-10-13T00:00:00
7969490;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;12;;;78975;564557.64;1085933.81;2022-10-13T00:00:00
