Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
4712277;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;1;;;68738;543940.38;1184761.48;2013-12-01T00:00:00
4712285;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;2;;;68738;543932.22;1184775.77;2013-12-01T00:00:00
4712307;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;4;;;68738;543848.65;1184926.85;2013-12-01T00:00:00
4712315;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;5;;;68738;543840.60;1184647.10;2013-12-01T00:00:00
4712323;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;6;;;68738;544321.55;1184589.85;2025-11-10T00:00:00
4712331;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;7;;;68738;543968.01;1184726.27;2013-12-01T00:00:00
4712340;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;8;;;68738;543708.61;1184749.98;2017-09-12T00:00:00
4712358;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;9;;;68738;544421.45;1184855.44;2013-12-01T00:00:00
4712366;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;10;;;68738;543685.04;1184736.70;2013-12-01T00:00:00
4712374;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;11;;;68738;543661.18;1184726.49;2013-12-01T00:00:00
4712382;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;12;;;68738;543593.83;1184693.35;2013-12-01T00:00:00
4712391;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;13;;;68738;543596.86;1184684.18;2013-12-01T00:00:00
4712404;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;14;;;68738;543603.85;1184677.36;2013-12-01T00:00:00
4712412;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;15;;;68738;543605.93;1184657.58;2016-07-01T00:00:00
4712421;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;16;;;68738;543629.25;1184648.19;2013-12-01T00:00:00
4712439;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;17;;;68738;543672.48;1184648.09;2013-12-01T00:00:00
4712447;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;18;;;68738;543630.77;1184612.36;2013-12-01T00:00:00
4712455;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;19;;;68738;544030.95;1185121.04;2013-12-01T00:00:00
4712463;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;20;;;68738;543700.11;1184601.25;2013-12-01T00:00:00
4712471;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;21;;;68738;543753.16;1184359.20;2013-12-01T00:00:00
4712480;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;22;;;68738;543734.51;1184498.52;2013-12-01T00:00:00
4712498;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;23;;;68738;543164.70;1185175.09;2013-12-01T00:00:00
4712501;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;24;;;68738;543677.32;1184399.03;2013-12-01T00:00:00
4712510;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;25;;;68738;543656.94;1184427.66;2013-12-01T00:00:00
4712528;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;26;;;68738;543955.59;1184745.04;2013-12-01T00:00:00
4712536;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;27;;;68738;544074.99;1184293.25;2013-12-01T00:00:00
4712544;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;28;;;68738;543609.10;1184591.11;2013-12-01T00:00:00
4712561;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;30;;;68738;543587.16;1184622.93;2013-12-01T00:00:00
4712579;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;31;;;68738;543574.22;1184636.69;2013-12-01T00:00:00
4712587;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;32;;;68738;543557.28;1184655.83;2013-12-01T00:00:00
4712595;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;33;;;68738;543548.59;1184672.79;2017-09-12T00:00:00
4712609;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;34;;;68738;543537.48;1184677.68;2013-12-01T00:00:00
4712617;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;35;;;68738;543510.29;1184681.57;2013-12-01T00:00:00
4712633;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;37;;;68738;543505.03;1184708.21;2013-12-01T00:00:00
4712641;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;38;;;68738;543496.26;1184717.45;2013-12-01T00:00:00
4712650;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;39;;;68738;543484.60;1184730.29;2013-12-01T00:00:00
4712668;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;40;;;68738;543477.97;1184742.64;2013-12-01T00:00:00
4712676;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;41;;;68738;543472.92;1184754.47;2013-12-01T00:00:00
4712684;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;42;;;68738;543468.01;1184774.08;2017-09-12T00:00:00
4712692;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;43;;;68738;543451.09;1184781.74;2013-12-01T00:00:00
4712706;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;45;;;68738;543471.69;1184811.65;2013-12-01T00:00:00
4712714;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;46;;;68738;543476.86;1184822.97;2013-12-01T00:00:00
4712722;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;47;;;68738;543484.79;1184832.81;2013-12-01T00:00:00
4712731;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;48;;;68738;543495.26;1184839.53;2013-12-01T00:00:00
4712749;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;49;;;68738;543504.99;1184846.43;2013-12-01T00:00:00
4712757;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;50;;;68738;543513.99;1184854.86;2013-12-01T00:00:00
4712765;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;51;;;68738;543528.18;1184862.32;2013-12-01T00:00:00
4712773;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;52;;;68738;543517.95;1184915.17;2013-12-01T00:00:00
4712781;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;53;;;68738;543505.52;1184951.44;2013-12-01T00:00:00
4712790;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;54;;;68738;543503.69;1184963.26;2013-12-01T00:00:00
4712803;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;55;;;68738;543497.16;1184977.17;2013-12-01T00:00:00
4712811;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;56;;;68738;543958.95;1184733.99;2013-12-01T00:00:00
4712820;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;57;;;68738;543504.26;1184999.72;2013-12-01T00:00:00
4712838;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;58;;;68738;543661.48;1184585.96;2013-12-01T00:00:00
4712854;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;60;;;68738;543573.87;1185007.39;2013-12-01T00:00:00
4712862;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;61;;;68738;543560.37;1185007.07;2013-12-01T00:00:00
4712889;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;63;;;68738;543560.45;1184931.24;2013-12-01T00:00:00
4712897;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;64;;;68738;543546.52;1184909.43;2013-12-01T00:00:00
4712901;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;65;;;68738;543551.14;1184888.50;2013-12-01T00:00:00
4712927;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;67;;;68738;543551.91;1184856.84;2013-12-01T00:00:00
4712951;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;70;;;68738;543561.92;1184782.81;2013-12-01T00:00:00
4712960;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;71;;;68738;543568.98;1184756.46;2013-12-01T00:00:00
4712978;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;72;;;68738;543575.45;1184741.45;2013-12-01T00:00:00
4712986;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;73;;;68738;543630.95;1184747.06;2013-12-01T00:00:00
4712994;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;74;;;68738;543848.15;1184249.32;2013-12-01T00:00:00
4713001;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;75;;;68738;543672.28;1184761.92;2013-12-01T00:00:00
4713010;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;76;;;68738;543695.27;1184769.32;2013-12-01T00:00:00
4713028;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;77;;;68738;543973.49;1184709.64;2013-12-01T00:00:00
4713036;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;78;;;68738;543839.33;1184887.61;2013-12-01T00:00:00
4713044;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;79;;;68738;543981.22;1184698.59;2013-12-01T00:00:00
4713079;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;82;;;68738;544145.23;1184558.43;2013-12-01T00:00:00
4713087;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;84;;;68738;544182.72;1184508.00;2013-12-01T00:00:00
4713095;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;85;;;68738;543750.47;1184961.24;2013-12-01T00:00:00
4713109;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;86;;;68738;543967.27;1184683.66;2025-08-19T00:00:00
4713117;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;87;;;68738;543988.79;1184686.95;2013-12-01T00:00:00
4713133;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;89;;;68738;543772.67;1184925.22;2013-12-01T00:00:00
4713141;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;90;;;68738;543957.04;1184686.91;2013-12-01T00:00:00
4713150;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;91;;;68738;543720.90;1184933.04;2013-12-01T00:00:00
4713168;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;92;;;68738;544157.11;1184542.35;2013-12-01T00:00:00
4713176;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;93;;;68738;543707.45;1184931.61;2013-12-01T00:00:00
4713184;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;96;;;68738;543722.07;1184899.09;2013-12-01T00:00:00
4713192;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;97;;;68738;543726.25;1184890.97;2013-12-01T00:00:00
4713206;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;99;;;68738;543731.64;1184866.17;2013-12-01T00:00:00
4713214;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;100;;;68738;543731.50;1184860.91;2013-12-01T00:00:00
4713222;592412;Nedakonice;;;;;102148;Nedakonice;;;и.p.;101;;;68738;543729.97;1184839.80;2013-12-01T00:00:00
