Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1857797;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;1;;;57001;619941.20;1089926.72;2013-12-07T00:00:00
1857801;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;2;;;57001;619921.77;1089971.27;2013-12-07T00:00:00
1857819;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;3;;;57001;620007.22;1089923.18;2013-12-07T00:00:00
1857827;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;4;;;57001;620075.31;1089848.55;2013-12-07T00:00:00
1857835;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;5;;;57001;620103.86;1089891.73;2013-12-07T00:00:00
1857843;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;6;;;57001;620156.14;1089919.99;2022-10-31T00:00:00
1857851;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;7;;;57001;620194.93;1089953.43;2013-12-07T00:00:00
1857860;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;8;;;57001;620215.88;1089989.17;2013-12-07T00:00:00
1857878;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;9;;;57001;620207.52;1090048.60;2013-12-07T00:00:00
1857886;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;10;;;57001;620224.65;1090124.98;2013-12-07T00:00:00
1857894;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;11;;;57001;620224.47;1090140.94;2022-10-31T00:00:00
1857908;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;12;;;57001;619902.83;1090358.05;2013-12-07T00:00:00
1857924;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;14;;;57001;620129.87;1089962.54;2013-12-07T00:00:00
1857932;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;15;;;57001;620104.16;1089983.69;2013-12-07T00:00:00
1857941;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;16;;;57001;620080.04;1089993.86;2013-12-07T00:00:00
1857959;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;17;;;57001;620096.77;1089952.30;2013-12-07T00:00:00
1857967;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;18;;;57001;620027.78;1089978.90;2022-10-31T00:00:00
1857975;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;19;;;57001;620078.46;1089935.95;2013-12-07T00:00:00
1857983;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;20;;;57001;620055.00;1089940.95;2013-12-07T00:00:00
1858009;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;22;;;57001;619975.09;1089913.73;2013-12-07T00:00:00
1858017;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;23;;;57001;620037.23;1089884.02;2013-12-07T00:00:00
1858025;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;24;;;57001;620193.29;1090015.24;2013-12-07T00:00:00
1858033;572373;Poшнин u Litomyљle;;;;;126047;Mladoиov;;;и.p.;25;;;57001;620349.48;1089890.88;2013-12-07T00:00:00
