Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
8087725;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;1;;;78821;565654.37;1083388.25;2013-12-04T00:00:00
8087733;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;2;;;78821;566520.49;1083915.93;2013-12-04T00:00:00
8087750;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;4;;;78821;565631.27;1083298.55;2013-12-04T00:00:00
8087768;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;5;;;78821;565587.84;1083289.45;2013-12-04T00:00:00
8087776;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;6;;;78821;565597.03;1083235.05;2013-12-04T00:00:00
8087784;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;7;;;78821;565572.64;1083234.02;2013-12-04T00:00:00
8087792;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;8;;;78821;565561.81;1083223.51;2013-12-04T00:00:00
8087806;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;9;;;78821;565517.41;1083236.00;2013-12-04T00:00:00
8087814;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;10;;;78821;565494.08;1083237.79;2013-12-04T00:00:00
8087822;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;11;;;78821;565465.86;1083185.57;2013-12-04T00:00:00
8087831;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;12;;;78821;565443.42;1083145.94;2013-12-04T00:00:00
8087849;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;13;;;78821;565432.09;1083120.67;2013-12-04T00:00:00
8087857;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;14;;;78821;565442.19;1083082.21;2013-12-04T00:00:00
8087865;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;15;;;78821;565470.51;1083070.05;2013-12-04T00:00:00
8087873;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;16;;;78821;565405.60;1083075.87;2013-12-04T00:00:00
8087881;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;17;;;78821;565393.63;1083051.23;2013-12-04T00:00:00
8087890;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;18;;;78821;565350.95;1083040.89;2013-12-04T00:00:00
8087903;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;19;;;78821;565327.97;1083025.11;2013-12-04T00:00:00
8087911;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;20;;;78821;565324.49;1083012.54;2013-12-04T00:00:00
8087920;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;21;;;78821;565283.91;1082988.37;2022-09-05T00:00:00
8087938;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;22;;;78821;565263.92;1082964.72;2013-12-04T00:00:00
8087946;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;23;;;78821;565240.30;1082935.78;2013-12-04T00:00:00
8087954;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;24;;;78821;565023.88;1082724.33;2013-12-04T00:00:00
8087962;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;25;;;78821;565232.24;1082880.52;2013-12-04T00:00:00
8087971;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;26;;;78821;565246.90;1082829.77;2013-12-04T00:00:00
8087989;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;27;;;78821;565345.64;1082904.40;2013-12-04T00:00:00
8087997;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;28;;;78821;565357.78;1082902.69;2013-12-04T00:00:00
8088004;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;29;;;78821;565354.43;1082932.66;2013-12-04T00:00:00
8088012;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;30;;;78821;565371.82;1082938.33;2013-12-04T00:00:00
8088021;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;31;;;78821;565412.71;1082918.58;2013-12-04T00:00:00
8088039;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;32;;;78821;565413.29;1082959.98;2013-12-04T00:00:00
8088047;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;33;;;78821;565506.33;1082996.71;2013-12-04T00:00:00
8088055;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;34;;;78821;565525.31;1082994.61;2013-12-04T00:00:00
8088063;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;35;;;78821;565538.39;1083029.31;2013-12-04T00:00:00
8088080;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;37;;;78821;565605.11;1083052.89;2020-11-24T00:00:00
8088098;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;38;;;78821;565647.51;1083078.15;2013-12-04T00:00:00
8088101;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;39;;;78821;565543.03;1083830.10;2021-08-30T00:00:00
8088110;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;40;;;78821;565554.92;1083102.96;2013-12-04T00:00:00
8088128;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;41;;;78821;565548.09;1083119.07;2013-12-04T00:00:00
8088136;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;43;;;78821;565576.11;1083143.14;2013-12-04T00:00:00
8088144;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;44;;;78821;565602.02;1083133.64;2013-12-04T00:00:00
8088152;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;45;;;78821;565716.56;1083104.77;2013-12-04T00:00:00
8088161;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;46;;;78821;565701.28;1083175.69;2013-12-04T00:00:00
8088179;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;47;;;78821;565682.43;1083203.38;2013-12-04T00:00:00
8088187;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;48;;;78821;565382.02;1083014.60;2013-12-04T00:00:00
8088195;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;49;;;78821;566260.38;1083875.75;2013-12-04T00:00:00
8088209;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;50;;;78821;565608.16;1083148.64;2023-05-29T00:00:00
8088217;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;51;;;78821;565693.47;1083126.79;2013-12-04T00:00:00
8088225;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;53;;;78821;565593.81;1083168.71;2013-12-04T00:00:00
8088233;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;54;;;78821;565680.45;1083218.67;2013-12-04T00:00:00
8088250;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;56;;;78821;565432.11;1083187.40;2013-12-04T00:00:00
8088268;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;57;;;78821;565632.01;1083172.67;2013-12-04T00:00:00
8088276;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;58;;;78821;565559.65;1083795.53;2013-12-04T00:00:00
8088284;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;59;;;78821;565549.84;1083082.08;2024-04-22T00:00:00
8088292;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;60;;;78821;565660.88;1083130.98;2013-12-04T00:00:00
8088306;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;61;;;78821;565212.55;1082828.12;2013-12-04T00:00:00
8088314;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;62;;;78821;565178.75;1082785.77;2013-12-04T00:00:00
8088322;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;63;;;78821;565881.40;1083536.73;2013-12-04T00:00:00
8088331;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;64;;;78821;565895.64;1083544.45;2013-12-04T00:00:00
8088365;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;67;;;78821;565939.25;1083566.26;2013-12-04T00:00:00
8088373;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;68;;;78821;565954.00;1083572.27;2024-01-04T00:00:00
8088381;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;69;;;78821;565491.28;1083366.76;2013-12-04T00:00:00
8088390;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;70;;;78821;565142.17;1082809.83;2013-12-04T00:00:00
8088403;541109;Sudkov;;;;;158771;Sudkov;;;и.p.;71;;;78821;565932.38;1083554.43;2023-06-19T00:00:00
