Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
10288767;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;1;;;76861;512669.69;1142860.37;2013-12-04T00:00:00
10288775;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;2;;;76861;512527.38;1142780.87;2013-12-04T00:00:00
10288783;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;3;;;76861;512681.65;1142845.36;2013-12-04T00:00:00
10288791;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;4;;;76861;512580.14;1142791.00;2013-12-04T00:00:00
10288805;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;5;;;76861;512692.50;1142842.13;2013-12-04T00:00:00
10288813;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;6;;;76861;512603.41;1142792.29;2013-12-04T00:00:00
10288821;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;7;;;76861;512703.15;1142827.88;2013-12-04T00:00:00
10288830;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;8;;;76861;512623.36;1142791.48;2013-12-04T00:00:00
10288848;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;9;;;76861;512757.26;1142805.46;2013-12-04T00:00:00
10288856;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;10;;;76861;512641.89;1142789.30;2013-12-04T00:00:00
10288864;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;11;;;76861;512789.14;1142818.07;2013-12-04T00:00:00
10288872;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;12;;;76861;512675.46;1142785.17;2013-12-04T00:00:00
10288881;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;13;;;76861;512813.07;1142838.34;2013-12-04T00:00:00
10288899;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;14;;;76861;512729.78;1142781.25;2013-12-04T00:00:00
10288902;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;15;;;76861;512795.88;1142905.42;2013-12-04T00:00:00
10288911;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;16;;;76861;512780.00;1142757.26;2013-12-04T00:00:00
10288929;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;17;;;76861;512802.49;1142954.63;2013-12-04T00:00:00
10288937;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;18;;;76861;512804.75;1142768.79;2013-12-04T00:00:00
10288945;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;19;;;76861;512817.23;1142972.53;2013-12-04T00:00:00
10288953;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;20;;;76861;512862.70;1142768.01;2013-12-04T00:00:00
10288961;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;21;;;76861;512801.23;1142986.20;2013-12-04T00:00:00
10288970;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;22;;;76861;512846.14;1142774.88;2013-12-04T00:00:00
10288988;588822;Osνθko;;;;;113077;Osνθko;;;θ.p.;23;;;76861;512765.15;1142757.04;2013-12-04T00:00:00
