Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2542463;599557;Koryta;;;;;69671;Koryta;;;è.p.;1;;;29411;694092.64;995188.61;2013-12-04T00:00:00
2542471;599557;Koryta;;;;;69671;Koryta;;;è.p.;2;;;29411;694021.99;995227.53;2013-12-04T00:00:00
2542480;599557;Koryta;;;;;69671;Koryta;;;è.p.;3;;;29411;693922.43;995270.36;2013-12-04T00:00:00
2542498;599557;Koryta;;;;;69671;Koryta;;;è.p.;6;;;29411;694058.36;995155.84;2013-12-04T00:00:00
2542501;599557;Koryta;;;;;69671;Koryta;;;è.p.;7;;;29411;694062.58;995176.57;2013-12-04T00:00:00
2542510;599557;Koryta;;;;;69671;Koryta;;;è.p.;8;;;29411;694078.41;995159.40;2013-12-04T00:00:00
2542528;599557;Koryta;;;;;69671;Koryta;;;è.p.;9;;;29411;694120.85;995112.74;2013-12-04T00:00:00
2542536;599557;Koryta;;;;;69671;Koryta;;;è.p.;10;;;29411;694034.20;995119.51;2013-12-04T00:00:00
2542544;599557;Koryta;;;;;69671;Koryta;;;è.p.;11;;;29411;694048.83;995060.31;2013-12-04T00:00:00
2542552;599557;Koryta;;;;;69671;Koryta;;;è.p.;13;;;29411;694081.86;995005.02;2013-12-04T00:00:00
2542561;599557;Koryta;;;;;69671;Koryta;;;è.p.;14;;;29411;694098.60;994948.02;2013-12-04T00:00:00
2542579;599557;Koryta;;;;;69671;Koryta;;;è.p.;15;;;29411;694085.87;994977.62;2013-12-04T00:00:00
2542587;599557;Koryta;;;;;69671;Koryta;;;è.p.;16;;;29411;694123.58;994974.78;2013-12-04T00:00:00
2542595;599557;Koryta;;;;;69671;Koryta;;;è.p.;17;;;29411;694113.87;995055.70;2013-12-04T00:00:00
2542609;599557;Koryta;;;;;69671;Koryta;;;è.p.;18;;;29411;694041.54;994957.47;2013-12-04T00:00:00
2542617;599557;Koryta;;;;;69671;Koryta;;;è.p.;19;;;29411;694013.71;994972.26;2013-12-04T00:00:00
2542625;599557;Koryta;;;;;69671;Koryta;;;è.p.;20;;;29411;693995.19;995030.01;2013-12-04T00:00:00
2542633;599557;Koryta;;;;;69671;Koryta;;;è.p.;21;;;29411;694000.10;995153.76;2013-12-04T00:00:00
2542641;599557;Koryta;;;;;69671;Koryta;;;è.p.;22;;;29411;693981.32;995082.77;2013-12-04T00:00:00
2542650;599557;Koryta;;;;;69671;Koryta;;;è.p.;23;;;29411;693963.90;995019.69;2013-12-04T00:00:00
2542668;599557;Koryta;;;;;69671;Koryta;;;è.p.;24;;;29411;693889.31;995071.63;2013-12-04T00:00:00
2542676;599557;Koryta;;;;;69671;Koryta;;;è.p.;26;;;29411;693948.77;994962.28;2013-12-04T00:00:00
2542684;599557;Koryta;;;;;69671;Koryta;;;è.p.;27;;;29411;693956.57;994983.41;2013-12-04T00:00:00
2542692;599557;Koryta;;;;;69671;Koryta;;;è.p.;28;;;29411;693887.99;994969.41;2013-12-04T00:00:00
2542706;599557;Koryta;;;;;69671;Koryta;;;è.p.;29;;;29411;693810.04;995006.41;2013-12-04T00:00:00
2542714;599557;Koryta;;;;;69671;Koryta;;;è.p.;30;;;29411;693934.27;995028.72;2013-12-04T00:00:00
2542722;599557;Koryta;;;;;69671;Koryta;;;è.p.;31;;;29411;694171.54;995038.13;2013-12-04T00:00:00
2542731;599557;Koryta;;;;;69671;Koryta;;;è.p.;32;;;29411;694084.46;994874.05;2013-12-04T00:00:00
2542749;599557;Koryta;;;;;69671;Koryta;;;è.p.;33;;;29411;693808.73;994949.51;2013-12-04T00:00:00
2542757;599557;Koryta;;;;;69671;Koryta;;;è.p.;34;;;29411;693980.78;995150.81;2013-12-04T00:00:00
2542765;599557;Koryta;;;;;69671;Koryta;;;è.p.;35;;;29411;693990.38;995239.55;2013-12-04T00:00:00
2542773;599557;Koryta;;;;;69671;Koryta;;;è.p.;36;;;29411;693973.87;995124.35;2013-12-04T00:00:00
2542781;599557;Koryta;;;;;69671;Koryta;;;è.p.;37;;;29411;694136.18;995000.38;2013-12-04T00:00:00
2542790;599557;Koryta;;;;;69671;Koryta;;;è.p.;38;;;29411;694129.13;994947.36;2013-12-04T00:00:00
2542803;599557;Koryta;;;;;69671;Koryta;;;è.p.;39;;;29411;694149.87;994970.34;2013-12-04T00:00:00
2542811;599557;Koryta;;;;;69671;Koryta;;;è.p.;40;;;29411;693810.77;995051.10;2013-12-04T00:00:00
2542820;599557;Koryta;;;;;69671;Koryta;;;è.p.;43;;;29411;693949.85;995167.20;2013-12-04T00:00:00
2542838;599557;Koryta;;;;;69671;Koryta;;;è.p.;44;;;29411;694182.11;994983.21;2013-12-04T00:00:00
2542846;599557;Koryta;;;;;69671;Koryta;;;è.p.;45;;;29411;693836.71;995070.67;2013-12-04T00:00:00
26331756;599557;Koryta;;;;;69671;Koryta;;;è.p.;5;;;29411;693948.05;995195.13;2013-12-04T00:00:00
26536692;599557;Koryta;;;;;69671;Koryta;;;è.p.;46;;;29411;693783.68;994992.27;2013-12-04T00:00:00
27835219;599557;Koryta;;;;;69671;Koryta;;;è.p.;4;;;29411;693898.47;995241.20;2013-12-04T00:00:00
81285302;599557;Koryta;;;;;69671;Koryta;;;è.p.;47;;;29411;693837.03;994888.08;2020-11-18T00:00:00
83133721;599557;Koryta;;;;;69671;Koryta;;;è.p.;48;;;29411;694089.62;995218.60;2022-07-15T00:00:00
87562464;599557;Koryta;;;;;69671;Koryta;;;è.p.;49;;;29411;693980.17;994958.37;2026-01-08T00:00:00
