Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
313084;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;1;;;39811;767835.26;1136541.48;2013-12-07T00:00:00
313092;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;2;;;39811;767900.86;1136572.09;2013-12-07T00:00:00
313106;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;3;;;39811;767876.29;1136508.65;2013-12-07T00:00:00
313114;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;4;;;39811;767844.80;1136517.22;2013-12-07T00:00:00
313122;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;5;;;39811;767836.57;1136515.48;2013-12-07T00:00:00
313131;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;6;;;39811;767871.95;1136477.16;2013-12-07T00:00:00
313149;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;7;;;39811;767845.36;1136425.07;2013-12-07T00:00:00
313157;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;8;;;39811;767796.01;1136432.54;2013-12-07T00:00:00
313165;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;9;;;39811;767805.17;1136505.91;2013-12-07T00:00:00
313173;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;10;;;39811;767770.77;1136412.79;2013-12-07T00:00:00
313181;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;11;;;39811;767748.08;1136408.39;2013-12-07T00:00:00
313190;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;12;;;39811;767756.44;1136395.27;2013-12-07T00:00:00
313203;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;13;;;39811;767748.51;1136355.52;2013-12-07T00:00:00
313211;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;14;;;39811;768089.42;1135568.31;2013-12-07T00:00:00
313220;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;15;;;39811;768233.06;1135528.38;2013-12-07T00:00:00
313238;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;16;;;39811;767901.32;1137741.26;2013-12-07T00:00:00
313246;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;17;;;39811;768094.72;1137634.80;2013-12-07T00:00:00
313254;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;18;;;39811;767302.70;1136681.80;2013-12-07T00:00:00
313262;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;19;;;39811;767723.99;1136319.05;2013-12-07T00:00:00
313271;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;20;;;39811;767726.41;1136440.28;2013-12-07T00:00:00
313289;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;21;;;39811;768010.69;1135641.02;2013-12-07T00:00:00
313297;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;22;;;39811;767994.09;1135633.23;2013-12-07T00:00:00
313301;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;23;;;39811;767976.62;1135632.53;2013-12-07T00:00:00
313319;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;24;;;39811;767805.41;1136523.91;2013-12-07T00:00:00
313327;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;25;;;39811;767859.69;1135542.44;2013-12-07T00:00:00
313335;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;26;;;39811;767820.55;1136391.64;2013-12-07T00:00:00
313343;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;27;;;39811;768051.40;1135652.29;2013-12-07T00:00:00
313351;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;28;;;39811;767881.26;1136565.80;2013-12-07T00:00:00
313360;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;29;;;39811;767894.92;1136553.22;2013-12-07T00:00:00
313378;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;30;;;39811;767895.93;1137692.82;2013-12-07T00:00:00
313386;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;31;;;39811;767725.31;1136355.39;2013-12-07T00:00:00
313394;598861;Žïár;;;;;195090;Nová Ves u Protivína;;;è.p.;32;;;39811;767968.75;1136724.50;2013-12-07T00:00:00
313408;598861;Žïár;;;;;195103;Žïár;;;è.p.;1;;;39811;769712.70;1135177.88;2013-12-07T00:00:00
313416;598861;Žïár;;;;;195103;Žïár;;;è.p.;2;;;39811;769737.24;1135182.61;2013-12-07T00:00:00
313424;598861;Žïár;;;;;195103;Žïár;;;è.p.;3;;;39811;769762.96;1135188.39;2013-12-07T00:00:00
313432;598861;Žïár;;;;;195103;Žïár;;;è.p.;4;;;39811;769789.52;1135193.86;2013-12-07T00:00:00
313441;598861;Žïár;;;;;195103;Žïár;;;è.p.;5;;;39811;769832.20;1135201.88;2013-12-07T00:00:00
313459;598861;Žïár;;;;;195103;Žïár;;;è.p.;6;;;39811;769796.12;1135225.95;2013-12-07T00:00:00
313467;598861;Žïár;;;;;195103;Žïár;;;è.p.;7;;;39811;769786.24;1135248.76;2013-12-07T00:00:00
313475;598861;Žïár;;;;;195103;Žïár;;;è.p.;8;;;39811;769785.78;1135273.02;2013-12-07T00:00:00
313483;598861;Žïár;;;;;195103;Žïár;;;è.p.;9;;;39811;769783.01;1135305.30;2015-10-09T00:00:00
313491;598861;Žïár;;;;;195103;Žïár;;;è.p.;10;;;39811;769792.61;1135319.00;2013-12-07T00:00:00
313505;598861;Žïár;;;;;195103;Žïár;;;è.p.;11;;;39811;769775.45;1135388.39;2013-12-07T00:00:00
313513;598861;Žïár;;;;;195103;Žïár;;;è.p.;12;;;39811;769723.96;1135411.30;2013-12-07T00:00:00
313521;598861;Žïár;;;;;195103;Žïár;;;è.p.;13;;;39811;769988.38;1135241.73;2013-12-07T00:00:00
