Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
15730972;569836;Barchov;;;;;892;Barchov;;;è.p.;1;;;50401;659820.25;1040938.56;2013-12-03T00:00:00
15730981;569836;Barchov;;;;;892;Barchov;;;è.p.;2;;;50401;659759.56;1040918.44;2013-12-03T00:00:00
15731006;569836;Barchov;;;;;892;Barchov;;;è.p.;4;;;50401;660060.23;1041215.56;2013-12-03T00:00:00
15731014;569836;Barchov;;;;;892;Barchov;;;è.p.;5;;;50401;659933.88;1041011.31;2013-12-03T00:00:00
15731022;569836;Barchov;;;;;892;Barchov;;;è.p.;6;;;50401;659942.06;1041043.44;2013-12-03T00:00:00
15731031;569836;Barchov;;;;;892;Barchov;;;è.p.;7;;;50401;659972.13;1041088.75;2013-12-03T00:00:00
15731049;569836;Barchov;;;;;892;Barchov;;;è.p.;8;;;50401;660113.94;1041103.69;2013-12-03T00:00:00
15731057;569836;Barchov;;;;;892;Barchov;;;è.p.;9;;;50401;660080.69;1041111.81;2013-12-03T00:00:00
15731065;569836;Barchov;;;;;892;Barchov;;;è.p.;10;;;50401;660053.44;1041160.31;2013-12-03T00:00:00
15731073;569836;Barchov;;;;;892;Barchov;;;è.p.;11;;;50401;660055.13;1041186.75;2013-12-03T00:00:00
15731081;569836;Barchov;;;;;892;Barchov;;;è.p.;12;;;50401;659969.81;1041397.63;2013-12-03T00:00:00
15731090;569836;Barchov;;;;;892;Barchov;;;è.p.;13;;;50401;660081.25;1041272.00;2013-12-03T00:00:00
15731103;569836;Barchov;;;;;892;Barchov;;;è.p.;14;;;50401;660067.94;1041305.00;2013-12-03T00:00:00
15731111;569836;Barchov;;;;;892;Barchov;;;è.p.;15;;;50401;660075.00;1041337.13;2013-12-03T00:00:00
15731120;569836;Barchov;;;;;892;Barchov;;;è.p.;16;;;50401;660090.81;1041384.81;2013-12-03T00:00:00
15731138;569836;Barchov;;;;;892;Barchov;;;è.p.;17;;;50401;660114.18;1041416.27;2021-01-13T00:00:00
15731146;569836;Barchov;;;;;892;Barchov;;;è.p.;18;;;50401;660125.89;1041441.25;2013-12-03T00:00:00
15731154;569836;Barchov;;;;;892;Barchov;;;è.p.;19;;;50401;660138.06;1041481.19;2013-12-03T00:00:00
15731162;569836;Barchov;;;;;892;Barchov;;;è.p.;20;;;50401;660039.00;1041506.38;2013-12-03T00:00:00
15731171;569836;Barchov;;;;;892;Barchov;;;è.p.;21;;;50401;660028.50;1041578.75;2013-12-03T00:00:00
15731189;569836;Barchov;;;;;892;Barchov;;;è.p.;22;;;50401;659927.94;1041971.25;2013-12-03T00:00:00
15731197;569836;Barchov;;;;;892;Barchov;;;è.p.;23;;;50401;659785.51;1041531.83;2013-12-03T00:00:00
15731201;569836;Barchov;;;;;892;Barchov;;;è.p.;24;;;50401;659893.06;1041963.75;2013-12-03T00:00:00
15731219;569836;Barchov;;;;;892;Barchov;;;è.p.;25;;;50401;659991.00;1041571.63;2013-12-03T00:00:00
15731227;569836;Barchov;;;;;892;Barchov;;;è.p.;26;;;50401;660001.13;1041539.38;2013-12-03T00:00:00
15731235;569836;Barchov;;;;;892;Barchov;;;è.p.;27;;;50401;660012.75;1041522.13;2013-12-03T00:00:00
15731243;569836;Barchov;;;;;892;Barchov;;;è.p.;28;;;50401;659958.31;1041501.88;2013-12-03T00:00:00
15731251;569836;Barchov;;;;;892;Barchov;;;è.p.;29;;;50401;660012.75;1041448.94;2013-12-03T00:00:00
15731260;569836;Barchov;;;;;892;Barchov;;;è.p.;30;;;50401;659978.63;1041473.69;2013-12-03T00:00:00
15731278;569836;Barchov;;;;;892;Barchov;;;è.p.;31;;;50401;659983.88;1041454.56;2013-12-03T00:00:00
15731286;569836;Barchov;;;;;892;Barchov;;;è.p.;32;;;50401;659736.38;1041203.13;2013-12-03T00:00:00
15731294;569836;Barchov;;;;;892;Barchov;;;è.p.;33;;;50401;659832.31;1041532.92;2013-12-03T00:00:00
15731308;569836;Barchov;;;;;892;Barchov;;;è.p.;34;;;50401;659920.51;1041461.78;2013-12-03T00:00:00
15731316;569836;Barchov;;;;;892;Barchov;;;è.p.;35;;;50401;659918.14;1041441.47;2022-10-29T00:00:00
15731324;569836;Barchov;;;;;892;Barchov;;;è.p.;36;;;50401;659970.63;1041413.69;2013-12-03T00:00:00
15731332;569836;Barchov;;;;;892;Barchov;;;è.p.;37;;;50401;659946.94;1041409.63;2013-12-03T00:00:00
15731341;569836;Barchov;;;;;892;Barchov;;;è.p.;38;;;50401;659918.88;1041313.19;2013-12-03T00:00:00
15731367;569836;Barchov;;;;;892;Barchov;;;è.p.;40;;;50401;659858.73;1041369.90;2017-03-21T00:00:00
15731375;569836;Barchov;;;;;892;Barchov;;;è.p.;41;;;50401;659830.00;1041370.13;2013-12-03T00:00:00
15731383;569836;Barchov;;;;;892;Barchov;;;è.p.;42;;;50401;659838.00;1041316.13;2013-12-03T00:00:00
15731391;569836;Barchov;;;;;892;Barchov;;;è.p.;43;;;50401;659817.00;1041334.69;2013-12-03T00:00:00
15731405;569836;Barchov;;;;;892;Barchov;;;è.p.;44;;;50401;659809.38;1041309.88;2013-12-03T00:00:00
15731413;569836;Barchov;;;;;892;Barchov;;;è.p.;45;;;50401;659790.31;1041307.44;2013-12-03T00:00:00
15731421;569836;Barchov;;;;;892;Barchov;;;è.p.;46;;;50401;659945.56;1041316.69;2013-12-03T00:00:00
15731430;569836;Barchov;;;;;892;Barchov;;;è.p.;47;;;50401;659784.63;1041253.25;2013-12-03T00:00:00
15731448;569836;Barchov;;;;;892;Barchov;;;è.p.;48;;;50401;659833.63;1041250.50;2013-12-03T00:00:00
15731456;569836;Barchov;;;;;892;Barchov;;;è.p.;49;;;50401;659832.81;1041207.19;2013-12-03T00:00:00
15731464;569836;Barchov;;;;;892;Barchov;;;è.p.;50;;;50401;660123.75;1041051.94;2013-12-03T00:00:00
15731472;569836;Barchov;;;;;892;Barchov;;;è.p.;51;;;50401;659881.00;1041243.13;2013-12-03T00:00:00
15731481;569836;Barchov;;;;;892;Barchov;;;è.p.;52;;;50401;659893.00;1041267.94;2013-12-03T00:00:00
15731499;569836;Barchov;;;;;892;Barchov;;;è.p.;53;;;50401;659710.50;1041188.69;2013-12-03T00:00:00
15731502;569836;Barchov;;;;;892;Barchov;;;è.p.;54;;;50401;659891.63;1041317.50;2013-12-03T00:00:00
15731511;569836;Barchov;;;;;892;Barchov;;;è.p.;55;;;50401;659911.28;1041289.19;2016-05-27T00:00:00
15731529;569836;Barchov;;;;;892;Barchov;;;è.p.;56;;;50401;659945.56;1041273.13;2013-12-03T00:00:00
15731537;569836;Barchov;;;;;892;Barchov;;;è.p.;57;;;50401;659970.47;1041290.04;2013-12-03T00:00:00
15731545;569836;Barchov;;;;;892;Barchov;;;è.p.;58;;;50401;659941.25;1041360.56;2013-12-03T00:00:00
15731553;569836;Barchov;;;;;892;Barchov;;;è.p.;59;;;50401;660085.56;1041498.13;2013-12-03T00:00:00
15731561;569836;Barchov;;;;;892;Barchov;;;è.p.;60;;;50401;660005.81;1041353.50;2013-12-03T00:00:00
15731570;569836;Barchov;;;;;892;Barchov;;;è.p.;61;;;50401;659909.47;1041997.82;2023-06-29T00:00:00
15731588;569836;Barchov;;;;;892;Barchov;;;è.p.;62;;;50401;659973.48;1041342.89;2013-12-03T00:00:00
15731596;569836;Barchov;;;;;892;Barchov;;;è.p.;63;;;50401;659887.44;1041529.25;2013-12-03T00:00:00
15731600;569836;Barchov;;;;;892;Barchov;;;è.p.;64;;;50401;659957.94;1041963.00;2013-12-03T00:00:00
