KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
16577116;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;500;;;47124;708850.54;991820.82;2013-11-29T00:00:00
16577124;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;502;;;47124;708795.92;991806.65;2013-11-29T00:00:00
16577132;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;504;;;47124;708801.89;991837.83;2013-11-29T00:00:00
16577141;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;505;;;47124;708805.39;991853.95;2013-11-29T00:00:00
16577159;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;507;;;47124;708755.22;991815.42;2013-11-29T00:00:00
16577167;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;508;;;47124;708758.36;991831.45;2013-11-29T00:00:00
16577175;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;509;;;47124;708761.47;991846.78;2013-11-29T00:00:00
16577183;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;510;;;47124;708765.07;991862.68;2013-11-29T00:00:00
16577191;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;511;;;47124;708710.89;991808.89;2013-11-29T00:00:00
16577205;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;512;;;47124;708714.21;991823.72;2013-11-29T00:00:00
16577213;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;513;;;47124;708717.44;991839.14;2013-11-29T00:00:00
16577221;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;514;;;47124;708720.62;991855.22;2013-11-29T00:00:00
16577230;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;515;;;47124;708723.99;991871.48;2013-11-29T00:00:00
16577256;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;517;;;47124;708625.12;991897.12;2013-11-29T00:00:00
16577264;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;518;;;47124;708624.15;991891.02;2013-11-29T00:00:00
16577272;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;519;;;47124;708622.84;991884.44;2013-11-29T00:00:00
16577281;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;521;;;47124;708599.53;991872.17;2013-11-29T00:00:00
16577299;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;522;;;47124;708598.27;991865.40;2013-11-29T00:00:00
16577302;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;523;;;47124;708596.84;991859.11;2013-11-29T00:00:00
16577311;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;525;;;47124;708593.86;991845.78;2013-11-29T00:00:00
16577329;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;526;;;47124;708592.27;991838.86;2013-11-29T00:00:00
16577337;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;527;;;47124;708628.94;991853.67;2013-11-29T00:00:00
16577345;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;528;;;47124;708627.62;991847.00;2013-11-29T00:00:00
16577353;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;529;;;47124;708626.46;991840.26;2013-11-29T00:00:00
16577361;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;532;;;47124;708621.85;991820.32;2013-11-29T00:00:00
16577370;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;533;;;47124;708669.74;991883.52;2013-11-29T00:00:00
16577388;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;534;;;47124;708665.18;991871.63;2013-11-29T00:00:00
16577396;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;537;;;47124;708665.23;991845.82;2013-11-29T00:00:00
16577400;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;538;;;47124;708659.72;991833.69;2013-11-29T00:00:00
16577418;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;606;;;47124;707747.22;991487.59;2013-11-29T00:00:00
16577426;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;607;;;47124;707816.42;991523.02;2013-11-29T00:00:00
16577434;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;611;;;47124;708230.64;991775.06;2013-11-29T00:00:00
16577442;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;612;;;47124;708181.70;991798.02;2013-11-29T00:00:00
16577451;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;700;;;47124;708410.94;991840.47;2022-06-13T00:00:00
16577469;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;701;;;47124;708405.17;991759.03;2013-11-29T00:00:00
16577477;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;704;;;47124;708453.58;991823.21;2013-11-29T00:00:00
16577485;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;789;;;47124;708675.55;991328.97;2013-11-29T00:00:00
16577493;562017;Ralsko;;;;;139220;Ku¯Ìvody;;;Ë.p.;792;;;47124;708671.22;991266.76;2013-11-29T00:00:00
16591739;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;2;;;47124;713804.30;984827.60;2013-11-29T00:00:00
16591747;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;3;;;47124;713823.08;984689.56;2013-11-29T00:00:00
16591755;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;4;;;47124;713678.73;984884.36;2013-11-29T00:00:00
16591763;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;5;;;47124;713693.50;984909.54;2013-11-29T00:00:00
16591771;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;6;;;47124;713718.48;984979.40;2019-12-12T00:00:00
16591780;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;8;;;47124;713713.58;985048.46;2013-11-29T00:00:00
16591801;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;10;;;47124;713660.01;985436.05;2013-11-29T00:00:00
16591810;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;11;;;47124;713631.38;985481.65;2013-11-29T00:00:00
16591828;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;12;;;47124;713576.49;985589.60;2013-11-29T00:00:00
16591844;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;15;;;47124;713481.85;985603.54;2013-11-29T00:00:00
16591852;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;16;;;47124;713491.34;985619.54;2013-11-29T00:00:00
16591861;562017;Ralsko;;;;;318400;BoreËek;;;Ë.p.;19;;;47124;713457.58;985794.00;2013-11-29T00:00:00
