Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
3693198;549894;Skryje;;;;;43427;Skryje;;;è.p.;1;;;59455;617340.15;1136642.64;2013-12-06T00:00:00
3693201;549894;Skryje;;;;;43427;Skryje;;;è.p.;2;;;59455;617674.20;1136675.27;2013-12-06T00:00:00
3693210;549894;Skryje;;;;;43427;Skryje;;;è.p.;3;;;59455;617421.43;1136576.61;2013-12-06T00:00:00
3693228;549894;Skryje;;;;;43427;Skryje;;;è.p.;4;;;59455;617403.74;1136541.83;2013-12-06T00:00:00
3693236;549894;Skryje;;;;;43427;Skryje;;;è.p.;5;;;59455;617569.02;1136516.81;2013-12-06T00:00:00
3693244;549894;Skryje;;;;;43427;Skryje;;;è.p.;6;;;59455;617859.95;1136672.26;2013-12-06T00:00:00
3693252;549894;Skryje;;;;;43427;Skryje;;;è.p.;7;;;59455;617293.70;1136449.25;2013-12-06T00:00:00
3693261;549894;Skryje;;;;;43427;Skryje;;;è.p.;8;;;59455;617219.87;1136370.78;2022-10-23T00:00:00
3693279;549894;Skryje;;;;;43427;Skryje;;;è.p.;9;;;59455;617248.50;1136433.68;2025-04-10T00:00:00
3693287;549894;Skryje;;;;;43427;Skryje;;;è.p.;10;;;59455;617198.50;1136485.34;2013-12-06T00:00:00
3693295;549894;Skryje;;;;;43427;Skryje;;;è.p.;11;;;59455;617222.60;1136480.16;2013-12-06T00:00:00
3693309;549894;Skryje;;;;;43427;Skryje;;;è.p.;12;;;59455;617210.73;1136505.87;2013-12-06T00:00:00
3693317;549894;Skryje;;;;;43427;Skryje;;;è.p.;13;;;59455;617306.33;1136586.55;2013-12-06T00:00:00
3693325;549894;Skryje;;;;;43427;Skryje;;;è.p.;14;;;59455;617204.55;1136395.67;2013-12-06T00:00:00
3693333;549894;Skryje;;;;;43427;Skryje;;;è.p.;16;;;59455;617653.46;1136573.58;2013-12-06T00:00:00
3693341;549894;Skryje;;;;;43427;Skryje;;;è.p.;17;;;59455;617733.23;1136558.18;2013-12-06T00:00:00
3693350;549894;Skryje;;;;;43427;Skryje;;;è.p.;18;;;59455;617336.79;1136454.06;2013-12-06T00:00:00
