Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
17712611;564745;Dobшнт;;;;;27880;Dobшнт;263052;Pod Kanбlem;и.p.;1;;;41301;746447.00;1003239.00;2013-12-01T00:00:00
17712629;564745;Dobшнт;;;;;27880;Dobшнт;263079;Roudnickб;и.p.;2;;;41301;746460.14;1003236.96;2013-12-01T00:00:00
17712637;564745;Dobшнт;;;;;27880;Dobшнт;678759;Horova;и.p.;3;;;41301;746543.99;1003184.87;2013-12-01T00:00:00
17712645;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;4;;;41301;746568.25;1003200.54;2013-12-01T00:00:00
17712653;564745;Dobшнт;;;;;27880;Dobшнт;;;и.p.;5;;;41301;746419.53;1004569.21;2013-12-01T00:00:00
17712670;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;7;;;41301;746631.52;1003168.50;2013-12-01T00:00:00
17712688;564745;Dobшнт;;;;;27880;Dobшнт;263079;Roudnickб;и.p.;8;;;41301;746472.32;1003225.14;2013-12-01T00:00:00
17712696;564745;Dobшнт;;;;;27880;Dobшнт;263061;Raиickб;и.p.;9;;;41301;746362.01;1003115.51;2013-12-01T00:00:00
17712700;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;10;;;41301;746559.77;1003073.10;2013-12-01T00:00:00
17712718;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;11;;;41301;746524.86;1003064.37;2013-12-01T00:00:00
17712726;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;12;;;41301;746497.00;1003160.00;2013-12-01T00:00:00
17712734;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;13;;;41301;746539.00;1003119.00;2013-12-01T00:00:00
17712742;564745;Dobшнт;;;;;27880;Dobшнт;263087;Sluneиnн;и.p.;14;;;41301;746483.93;1003330.07;2013-12-01T00:00:00
17712751;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;15;;;41301;746469.39;1003112.61;2013-12-01T00:00:00
17712769;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;16;;;41301;746449.69;1003111.83;2013-12-01T00:00:00
17712777;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;17;;;41301;746457.53;1003128.12;2013-12-01T00:00:00
17712785;564745;Dobшнт;;;;;27880;Dobшнт;263061;Raиickб;и.p.;18;;;41301;746463.68;1003159.59;2013-12-01T00:00:00
17712793;564745;Dobшнт;;;;;27880;Dobшнт;;;и.p.;19;;;41301;746210.97;1004642.00;2013-12-01T00:00:00
17712807;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;20;;;41301;746600.89;1003162.86;2013-12-01T00:00:00
17712815;564745;Dobшнт;;;;;27880;Dobшнт;263079;Roudnickб;и.p.;21;;;41301;746502.75;1003233.70;2013-12-01T00:00:00
17712823;564745;Dobшнт;;;;;27880;Dobшнт;263052;Pod Kanбlem;и.p.;22;;;41301;746422.89;1003254.47;2013-12-01T00:00:00
17712831;564745;Dobшнт;;;;;27880;Dobшнт;263052;Pod Kanбlem;и.p.;23;;;41301;746434.85;1003258.43;2013-12-01T00:00:00
17712840;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;24;;;41301;746437.00;1003230.00;2013-12-01T00:00:00
17712858;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;25;;;41301;746467.90;1003151.52;2013-12-01T00:00:00
17712866;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;27;;;41301;746448.00;1003230.00;2013-12-01T00:00:00
17712874;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;28;;;41301;746364.78;1003275.73;2013-12-01T00:00:00
17712882;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;29;;;41301;746355.55;1002359.29;2013-12-01T00:00:00
17712891;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;30;;;41301;746408.02;1003243.89;2013-12-01T00:00:00
17712904;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;31;;;41301;746437.43;1003212.73;2013-12-01T00:00:00
17712939;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;34;;;41301;746547.00;1003193.00;2013-12-01T00:00:00
17712947;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;35;;;41301;746526.00;1003154.00;2013-12-01T00:00:00
17712955;564745;Dobшнт;;;;;27880;Dobшнт;263001;Krбtkб;и.p.;36;;;41301;746504.71;1003349.47;2013-12-01T00:00:00
17712963;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;37;;;41301;746390.64;1003262.31;2013-12-01T00:00:00
17712971;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;38;;;41301;746521.36;1003087.68;2013-12-01T00:00:00
17712980;564745;Dobшнт;;;;;27880;Dobшнт;;;и.p.;39;;;41301;746363.52;1004628.12;2013-12-01T00:00:00
17712998;564745;Dobшнт;;;;;27880;Dobшнт;;;и.p.;40;;;41301;746427.73;1004565.72;2013-12-01T00:00:00
17713005;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;41;;;41301;746581.00;1003184.00;2013-12-01T00:00:00
17713021;564745;Dobшнт;;;;;27880;Dobшнт;678759;Horova;и.p.;43;;;41301;746508.00;1003173.00;2013-12-01T00:00:00
17713030;564745;Dobшнт;;;;;27880;Dobшнт;263109;V ZбtiЪн;и.p.;44;;;41301;746607.46;1003181.63;2013-12-01T00:00:00
17713048;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;45;;;41301;746395.00;1003220.00;2013-12-01T00:00:00
17713056;564745;Dobшнт;;;;;27880;Dobшнт;263044;Pod Javorem;и.p.;46;;;41301;746482.23;1002978.50;2013-12-01T00:00:00
17713064;564745;Dobшнт;;;;;27880;Dobшнт;262986;K Pшнvozu;и.p.;47;;;41301;746473.00;1002965.00;2013-12-01T00:00:00
17713072;564745;Dobшнт;;;;;27880;Dobшнт;678759;Horova;и.p.;48;;;41301;746525.66;1003192.11;2013-12-01T00:00:00
17713081;564745;Dobшнт;;;;;27880;Dobшнт;263044;Pod Javorem;и.p.;49;;;41301;746507.19;1002962.64;2022-10-27T00:00:00
17713099;564745;Dobшнт;;;;;27880;Dobшнт;262978;NбdraЮnн;и.p.;50;;;41301;746370.35;1003247.50;2013-12-01T00:00:00
