Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11106352;514772;Lipová;;;;;84638;Lipová;;;è.p.;1;;;75114;523460.08;1144203.50;2013-12-05T00:00:00
11106361;514772;Lipová;;;;;84638;Lipová;;;è.p.;2;;;75114;523424.05;1144220.67;2013-12-05T00:00:00
11106379;514772;Lipová;;;;;84638;Lipová;;;è.p.;3;;;75114;523410.56;1144252.72;2013-12-05T00:00:00
11106387;514772;Lipová;;;;;84638;Lipová;;;è.p.;4;;;75114;523377.40;1144274.48;2013-12-05T00:00:00
11106395;514772;Lipová;;;;;84638;Lipová;;;è.p.;5;;;75114;523337.38;1144296.99;2013-12-05T00:00:00
11106409;514772;Lipová;;;;;84638;Lipová;;;è.p.;6;;;75114;523301.58;1144313.17;2013-12-05T00:00:00
11106417;514772;Lipová;;;;;84638;Lipová;;;è.p.;7;;;75114;523269.27;1144326.16;2013-12-05T00:00:00
11106425;514772;Lipová;;;;;84638;Lipová;;;è.p.;8;;;75114;523246.31;1144334.60;2013-12-05T00:00:00
11106433;514772;Lipová;;;;;84638;Lipová;;;è.p.;9;;;75114;523214.51;1144341.42;2013-12-05T00:00:00
11106441;514772;Lipová;;;;;84638;Lipová;;;è.p.;10;;;75114;523184.25;1144346.40;2013-12-05T00:00:00
11106450;514772;Lipová;;;;;84638;Lipová;;;è.p.;11;;;75114;523162.79;1144348.79;2013-12-05T00:00:00
11106468;514772;Lipová;;;;;84638;Lipová;;;è.p.;12;;;75114;523117.17;1144356.35;2013-12-05T00:00:00
11106476;514772;Lipová;;;;;84638;Lipová;;;è.p.;13;;;75114;523101.03;1144358.02;2013-12-05T00:00:00
11106484;514772;Lipová;;;;;84638;Lipová;;;è.p.;14;;;75114;523048.28;1144368.36;2013-12-05T00:00:00
11106492;514772;Lipová;;;;;84638;Lipová;;;è.p.;15;;;75114;523015.09;1144373.61;2013-12-05T00:00:00
11106506;514772;Lipová;;;;;84638;Lipová;;;è.p.;16;;;75114;522988.27;1144369.92;2013-12-05T00:00:00
11106514;514772;Lipová;;;;;84638;Lipová;;;è.p.;17;;;75114;522968.87;1144375.15;2013-12-05T00:00:00
11106522;514772;Lipová;;;;;84638;Lipová;;;è.p.;18;;;75114;522940.76;1144370.68;2013-12-05T00:00:00
11106531;514772;Lipová;;;;;84638;Lipová;;;è.p.;19;;;75114;522900.07;1144359.90;2013-12-05T00:00:00
11106549;514772;Lipová;;;;;84638;Lipová;;;è.p.;20;;;75114;522879.33;1144359.29;2013-12-05T00:00:00
11106557;514772;Lipová;;;;;84638;Lipová;;;è.p.;21;;;75114;522865.46;1144360.51;2013-12-05T00:00:00
11106565;514772;Lipová;;;;;84638;Lipová;;;è.p.;22;;;75114;523028.83;1144406.78;2022-10-12T00:00:00
11106573;514772;Lipová;;;;;84638;Lipová;;;è.p.;23;;;75114;522825.63;1144379.67;2013-12-05T00:00:00
11106581;514772;Lipová;;;;;84638;Lipová;;;è.p.;24;;;75114;522858.41;1144383.59;2013-12-05T00:00:00
11106590;514772;Lipová;;;;;84638;Lipová;;;è.p.;25;;;75114;522929.79;1144407.67;2013-12-05T00:00:00
11106603;514772;Lipová;;;;;84638;Lipová;;;è.p.;26;;;75114;522981.52;1144408.25;2013-12-05T00:00:00
11106620;514772;Lipová;;;;;84638;Lipová;;;è.p.;28;;;75114;523101.75;1144393.38;2013-12-05T00:00:00
11106638;514772;Lipová;;;;;84638;Lipová;;;è.p.;29;;;75114;523139.76;1144382.34;2013-12-05T00:00:00
11106646;514772;Lipová;;;;;84638;Lipová;;;è.p.;30;;;75114;523222.73;1144371.50;2013-12-05T00:00:00
11106654;514772;Lipová;;;;;84638;Lipová;;;è.p.;31;;;75114;523282.98;1144364.96;2013-12-05T00:00:00
11106662;514772;Lipová;;;;;84638;Lipová;;;è.p.;32;;;75114;523319.87;1144338.85;2013-12-05T00:00:00
11106671;514772;Lipová;;;;;84638;Lipová;;;è.p.;33;;;75114;523458.12;1144121.74;2013-12-05T00:00:00
11106689;514772;Lipová;;;;;84638;Lipová;;;è.p.;34;;;75114;523404.36;1144295.14;2013-12-05T00:00:00
11106701;514772;Lipová;;;;;84638;Lipová;;;è.p.;36;;;75114;523461.73;1144266.43;2013-12-05T00:00:00
11106719;514772;Lipová;;;;;84638;Lipová;;;è.p.;37;;;75114;523490.25;1144236.62;2013-12-05T00:00:00
11106727;514772;Lipová;;;;;84638;Lipová;;;è.p.;38;;;75114;523557.90;1144166.03;2013-12-05T00:00:00
11106743;514772;Lipová;;;;;84638;Lipová;;;è.p.;40;;;75114;523543.67;1144148.56;2013-12-05T00:00:00
11106751;514772;Lipová;;;;;84638;Lipová;;;è.p.;41;;;75114;523537.61;1144155.73;2013-12-05T00:00:00
11106760;514772;Lipová;;;;;84638;Lipová;;;è.p.;42;;;75114;523517.56;1144176.09;2013-12-05T00:00:00
11106778;514772;Lipová;;;;;84638;Lipová;;;è.p.;43;;;75114;523494.23;1144193.66;2013-12-05T00:00:00
11106786;514772;Lipová;;;;;84638;Lipová;;;è.p.;45;;;75114;523035.43;1144370.56;2013-12-05T00:00:00
11106794;514772;Lipová;;;;;84638;Lipová;;;è.p.;46;;;75114;522805.79;1144391.23;2013-12-05T00:00:00
11106808;514772;Lipová;;;;;84638;Lipová;;;è.p.;47;;;75114;522967.60;1144407.67;2013-12-05T00:00:00
11106816;514772;Lipová;;;;;84638;Lipová;;;è.p.;48;;;75114;522789.38;1144392.20;2013-12-05T00:00:00
11106824;514772;Lipová;;;;;84638;Lipová;;;è.p.;49;;;75114;523552.89;1144174.02;2013-12-05T00:00:00
11106832;514772;Lipová;;;;;84638;Lipová;;;è.p.;50;;;75114;523009.29;1144414.44;2013-12-05T00:00:00
11106841;514772;Lipová;;;;;84638;Lipová;;;è.p.;51;;;75114;522833.96;1144340.26;2013-12-05T00:00:00
11106859;514772;Lipová;;;;;84638;Lipová;;;è.p.;52;;;75114;523009.62;1144596.20;2013-12-05T00:00:00
11106867;514772;Lipová;;;;;84638;Lipová;;;è.p.;53;;;75114;522778.74;1144341.89;2013-12-05T00:00:00
11106883;514772;Lipová;;;;;84638;Lipová;;;è.p.;55;;;75114;523563.20;1144118.12;2013-12-05T00:00:00
11106891;514772;Lipová;;;;;84638;Lipová;;;è.p.;56;;;75114;523005.02;1144470.45;2013-12-05T00:00:00
11106905;514772;Lipová;;;;;84638;Lipová;;;è.p.;57;;;75114;523579.53;1144183.68;2013-12-05T00:00:00
11106913;514772;Lipová;;;;;84638;Lipová;;;è.p.;58;;;75114;523004.68;1144481.58;2013-12-05T00:00:00
11106921;514772;Lipová;;;;;84638;Lipová;;;è.p.;59;;;75114;523468.48;1144194.92;2013-12-05T00:00:00
11106930;514772;Lipová;;;;;84638;Lipová;;;è.p.;60;;;75114;523077.95;1144363.03;2013-12-05T00:00:00
11106948;514772;Lipová;;;;;84638;Lipová;;;è.p.;61;;;75114;523587.65;1144104.77;2013-12-05T00:00:00
11106956;514772;Lipová;;;;;84638;Lipová;;;è.p.;62;;;75114;523627.26;1144108.85;2013-12-05T00:00:00
11106964;514772;Lipová;;;;;84638;Lipová;;;è.p.;63;;;75114;523512.97;1144178.57;2013-12-05T00:00:00
11106972;514772;Lipová;;;;;84638;Lipová;;;è.p.;64;;;75114;522929.06;1144362.95;2013-12-05T00:00:00
11106981;514772;Lipová;;;;;84638;Lipová;;;è.p.;65;;;75114;523611.14;1144118.38;2013-12-05T00:00:00
11106999;514772;Lipová;;;;;84638;Lipová;;;è.p.;66;;;75114;523345.87;1144278.08;2013-12-05T00:00:00
11107006;514772;Lipová;;;;;84638;Lipová;;;è.p.;67;;;75114;523313.57;1144307.66;2013-12-05T00:00:00
11107014;514772;Lipová;;;;;84638;Lipová;;;è.p.;68;;;75114;523448.52;1144212.64;2013-12-05T00:00:00
11107022;514772;Lipová;;;;;84638;Lipová;;;è.p.;69;;;75114;523604.81;1144088.25;2013-12-05T00:00:00
11107031;514772;Lipová;;;;;84638;Lipová;;;è.p.;70;;;75114;523534.96;1144187.57;2013-12-05T00:00:00
11107049;514772;Lipová;;;;;84638;Lipová;;;è.p.;71;;;75114;522566.37;1144389.04;2013-12-05T00:00:00
11107057;514772;Lipová;;;;;84638;Lipová;;;è.p.;72;;;75114;523485.60;1144180.00;2013-12-05T00:00:00
11107065;514772;Lipová;;;;;84638;Lipová;;;è.p.;73;;;75114;523062.51;1144361.62;2013-12-05T00:00:00
11107073;514772;Lipová;;;;;84638;Lipová;;;è.p.;74;;;75114;523173.74;1144348.88;2013-12-05T00:00:00
11107081;514772;Lipová;;;;;84638;Lipová;;;è.p.;75;;;75114;523526.73;1144198.91;2013-12-05T00:00:00
11107090;514772;Lipová;;;;;84638;Lipová;;;è.p.;76;;;75114;522743.34;1144315.81;2013-12-05T00:00:00
11107103;514772;Lipová;;;;;84638;Lipová;;;è.p.;77;;;75114;523319.47;1144292.06;2013-12-05T00:00:00
11107111;514772;Lipová;;;;;84638;Lipová;;;è.p.;78;;;75114;523672.10;1144044.13;2013-12-05T00:00:00
11107120;514772;Lipová;;;;;84638;Lipová;;;è.p.;79;;;75114;522643.58;1144404.54;2013-12-05T00:00:00
11107138;514772;Lipová;;;;;84638;Lipová;;;è.p.;80;;;75114;522661.06;1144402.03;2013-12-05T00:00:00
11107146;514772;Lipová;;;;;84638;Lipová;;;è.p.;81;;;75114;523080.18;1144569.70;2013-12-05T00:00:00
11107154;514772;Lipová;;;;;84638;Lipová;;;è.p.;82;;;75114;522689.68;1144394.26;2013-12-05T00:00:00
11107162;514772;Lipová;;;;;84638;Lipová;;;è.p.;83;;;75114;523584.26;1144193.13;2013-12-05T00:00:00
11107171;514772;Lipová;;;;;84638;Lipová;;;è.p.;84;;;75114;522673.98;1144398.75;2013-12-05T00:00:00
11107189;514772;Lipová;;;;;84638;Lipová;;;è.p.;85;;;75114;522764.66;1144401.30;2013-12-05T00:00:00
11107197;514772;Lipová;;;;;84638;Lipová;;;è.p.;86;;;75114;522836.53;1144331.53;2013-12-05T00:00:00
11107201;514772;Lipová;;;;;84638;Lipová;;;è.p.;87;;;75114;523464.52;1144387.14;2013-12-05T00:00:00
11107219;514772;Lipová;;;;;84638;Lipová;;;è.p.;88;;;75114;523450.51;1144368.40;2013-12-05T00:00:00
11107227;514772;Lipová;;;;;84638;Lipová;;;è.p.;89;;;75114;523633.24;1144071.93;2013-12-05T00:00:00
11107235;514772;Lipová;;;;;84638;Lipová;;;è.p.;90;;;75114;523475.61;1144391.73;2013-12-05T00:00:00
11107243;514772;Lipová;;;;;84638;Lipová;;;è.p.;91;;;75114;522939.38;1144483.28;2013-12-05T00:00:00
11107251;514772;Lipová;;;;;84638;Lipová;;;è.p.;92;;;75114;523056.82;1144579.91;2013-12-05T00:00:00
11107260;514772;Lipová;;;;;84638;Lipová;;;è.p.;93;;;75114;523049.75;1144582.53;2013-12-05T00:00:00
11107278;514772;Lipová;;;;;84638;Lipová;;;è.p.;94;;;75114;523718.71;1144007.69;2013-12-05T00:00:00
11107286;514772;Lipová;;;;;84638;Lipová;;;è.p.;95;;;75114;523020.15;1144591.36;2013-12-05T00:00:00
11107294;514772;Lipová;;;;;84638;Lipová;;;è.p.;96;;;75114;523676.96;1144036.92;2013-12-05T00:00:00
11107308;514772;Lipová;;;;;84638;Lipová;;;è.p.;97;;;75114;522991.00;1144585.12;2013-12-05T00:00:00
11107316;514772;Lipová;;;;;84638;Lipová;;;è.p.;98;;;75114;523487.56;1144406.72;2013-12-05T00:00:00
11107324;514772;Lipová;;;;;84638;Lipová;;;è.p.;99;;;75114;522979.54;1144611.00;2013-12-05T00:00:00
11107332;514772;Lipová;;;;;84638;Lipová;;;è.p.;100;;;75114;522605.76;1144377.70;2013-12-05T00:00:00
11107341;514772;Lipová;;;;;84638;Lipová;;;è.p.;101;;;75114;523195.25;1144345.17;2013-12-05T00:00:00
11107359;514772;Lipová;;;;;84638;Lipová;;;è.p.;102;;;75114;523633.36;1144104.43;2013-12-05T00:00:00
11107367;514772;Lipová;;;;;84638;Lipová;;;è.p.;103;;;75114;523498.10;1144442.53;2013-12-05T00:00:00
11107375;514772;Lipová;;;;;84638;Lipová;;;è.p.;104;;;75114;522918.76;1144485.15;2013-12-05T00:00:00
11107383;514772;Lipová;;;;;84638;Lipová;;;è.p.;105;;;75114;523004.50;1144373.87;2013-12-05T00:00:00
11107391;514772;Lipová;;;;;84638;Lipová;;;è.p.;106;;;75114;523423.44;1144394.27;2013-12-05T00:00:00
11107405;514772;Lipová;;;;;84638;Lipová;;;è.p.;107;;;75114;522902.04;1144217.73;2013-12-05T00:00:00
11107413;514772;Lipová;;;;;84638;Lipová;;;è.p.;108;;;75114;523140.22;1144350.13;2013-12-05T00:00:00
11107421;514772;Lipová;;;;;84638;Lipová;;;è.p.;109;;;75114;522878.19;1144494.84;2013-12-05T00:00:00
11107430;514772;Lipová;;;;;84638;Lipová;;;è.p.;110;;;75114;522733.55;1144353.04;2013-12-05T00:00:00
11107448;514772;Lipová;;;;;84638;Lipová;;;è.p.;111;;;75114;522994.95;1144502.18;2013-12-05T00:00:00
11107456;514772;Lipová;;;;;84638;Lipová;;;è.p.;112;;;75114;523506.32;1144225.38;2013-12-05T00:00:00
11107464;514772;Lipová;;;;;84638;Lipová;;;è.p.;113;;;75114;523196.36;1144376.70;2013-12-05T00:00:00
11107472;514772;Lipová;;;;;84638;Lipová;;;è.p.;114;;;75114;523091.80;1144394.48;2013-12-05T00:00:00
11107499;514772;Lipová;;;;;84638;Lipová;;;è.p.;116;;;75114;522862.97;1144498.73;2013-12-05T00:00:00
11107502;514772;Lipová;;;;;84638;Lipová;;;è.p.;117;;;75114;522927.51;1144549.27;2013-12-05T00:00:00
11107511;514772;Lipová;;;;;84638;Lipová;;;è.p.;118;;;75114;522965.03;1144476.34;2013-12-05T00:00:00
11107529;514772;Lipová;;;;;84638;Lipová;;;è.p.;119;;;75114;522857.99;1144304.18;2013-12-05T00:00:00
11107537;514772;Lipová;;;;;84638;Lipová;;;è.p.;130;;;75114;523077.71;1144393.64;2017-07-12T00:00:00
25363531;514772;Lipová;;;;;84638;Lipová;;;è.p.;120;;;75114;523658.08;1144148.61;2013-12-05T00:00:00
25580485;514772;Lipová;;;;;84638;Lipová;;;è.p.;122;;;75114;523013.39;1144554.02;2013-12-05T00:00:00
25724932;514772;Lipová;;;;;84638;Lipová;;;è.p.;121;;;75114;523353.37;1144328.47;2013-12-05T00:00:00
27026931;514772;Lipová;;;;;84638;Lipová;;;è.p.;44;;;75114;523378.29;1144310.24;2013-12-05T00:00:00
27686132;514772;Lipová;;;;;84638;Lipová;;;è.p.;123;;;75114;522965.49;1144623.27;2013-12-05T00:00:00
27823288;514772;Lipová;;;;;84638;Lipová;;;è.p.;125;;;75114;522950.05;1144479.71;2013-12-05T00:00:00
27823296;514772;Lipová;;;;;84638;Lipová;;;è.p.;126;;;75114;523511.30;1144412.34;2013-12-05T00:00:00
28349555;514772;Lipová;;;;;84638;Lipová;;;è.p.;127;;;75114;523060.88;1144199.40;2017-05-03T00:00:00
73473031;514772;Lipová;;;;;84638;Lipová;;;è.ev.;2;;;75114;523516.05;1144300.13;2015-03-02T00:00:00
74163442;514772;Lipová;;;;;84638;Lipová;;;è.ev.;3;;;75114;523494.06;1144414.55;2015-10-21T00:00:00
75716178;514772;Lipová;;;;;84638;Lipová;;;è.p.;128;;;75114;523475.06;1144132.31;2017-01-11T00:00:00
76128962;514772;Lipová;;;;;84638;Lipová;;;è.p.;115;;;75114;522643.12;1144372.58;2017-05-03T00:00:00
80455701;514772;Lipová;;;;;84638;Lipová;;;è.p.;131;;;75114;523171.82;1144384.88;2020-03-04T00:00:00
83308491;514772;Lipová;;;;;84638;Lipová;;;è.p.;132;;;75114;523535.20;1144293.23;2022-09-21T00:00:00
85546356;514772;Lipová;;;;;84638;Lipová;;;è.p.;133;;;75114;523613.49;1144220.16;2023-08-23T00:00:00
87156725;514772;Lipová;;;;;84638;Lipová;;;è.p.;134;;;75114;522904.28;1144615.37;2025-07-03T00:00:00
