Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
16635931;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;1;;;41301;753111.00;1011070.00;2013-12-03T00:00:00
16635949;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;2;;;41301;753163.92;1011026.70;2022-10-27T00:00:00
16635957;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;3;;;41301;753140.13;1010946.46;2020-11-10T00:00:00
16635965;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;4;;;41301;753163.00;1010906.00;2013-12-03T00:00:00
16635981;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;6;;;41301;753150.88;1010846.83;2013-12-03T00:00:00
16635990;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;7;;;41301;753144.11;1010829.52;2013-12-03T00:00:00
16636007;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;8;;;41301;753135.37;1010815.10;2013-12-03T00:00:00
16636015;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;9;;;41301;753119.40;1010814.44;2022-10-27T00:00:00
16636023;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;10;;;41301;753090.24;1010869.01;2013-12-03T00:00:00
16636031;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;12;;;41301;753072.00;1010915.00;2013-12-03T00:00:00
16636040;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;13;;;41301;753050.88;1010914.03;2013-12-03T00:00:00
16636058;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;14;;;41301;753222.00;1011175.00;2013-12-03T00:00:00
16636066;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;15;;;41301;753021.00;1010923.00;2013-12-03T00:00:00
16636082;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;17;;;41301;752950.00;1010923.00;2013-12-03T00:00:00
16636091;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;18;;;41301;752965.64;1010942.79;2013-12-03T00:00:00
16636104;564648;Bרםza;;;;;15083;Bרםza;;;ט.p.;19;;;41301;752857.92;1010973.50;2013-12-03T00:00:00
