Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
16646142;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;1;;;41301;749874.95;1000843.15;2013-12-01T00:00:00
16646151;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;2;;;41301;749837.45;1000850.50;2013-12-01T00:00:00
16646169;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;3;;;41301;749804.35;1000840.21;2013-12-01T00:00:00
16646177;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;5;;;41301;749764.80;1000865.53;2013-12-01T00:00:00
16646185;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;6;;;41301;749760.58;1000891.63;2022-10-22T00:00:00
16646193;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;7;;;41301;749830.37;1000888.96;2013-12-01T00:00:00
16646207;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;8;;;41301;749831.14;1000896.61;2013-12-01T00:00:00
16646215;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;9;;;41301;749805.44;1000924.22;2013-12-01T00:00:00
16646223;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;10;;;41301;749830.75;1000930.99;2013-12-01T00:00:00
16646231;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;11;;;41301;749676.06;1000989.38;2013-12-01T00:00:00
16646240;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;14;;;41301;749854.08;1001024.34;2013-12-01T00:00:00
16646258;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;16;;;41301;749860.80;1000962.33;2013-12-01T00:00:00
16646266;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;18;;;41301;749865.88;1000898.74;2013-12-01T00:00:00
16646274;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;19;;;41301;749868.57;1000885.94;2013-12-01T00:00:00
16646282;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;20;;;41301;750087.08;1000955.70;2013-12-01T00:00:00
16646291;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;21;;;41301;748716.50;1001481.98;2013-12-01T00:00:00
16646304;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;23;;;41301;749681.90;1001004.19;2013-12-01T00:00:00
16646312;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;24;;;41301;749763.53;1000800.98;2013-12-01T00:00:00
16646321;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;25;;;41301;749902.44;1000897.88;2013-12-01T00:00:00
16646339;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;26;;;41301;749890.19;1000882.25;2013-12-01T00:00:00
16646347;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;27;;;41301;749882.87;1000789.47;2013-12-01T00:00:00
16646355;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;28;;;41301;749761.25;1000913.94;2013-12-01T00:00:00
16646363;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;29;;;41301;749755.57;1000819.62;2020-07-27T00:00:00
16646371;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;31;;;41301;749935.35;1000992.42;2013-12-01T00:00:00
16646380;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;32;;;41301;749755.38;1000931.77;2013-12-01T00:00:00
16646398;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;33;;;41301;749938.16;1001002.09;2013-12-01T00:00:00
16646410;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;35;;;41301;749863.87;1001044.74;2013-12-01T00:00:00
16646436;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;37;;;41301;749621.29;1000796.92;2013-12-01T00:00:00
16646444;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;38;;;41301;749879.27;1000761.10;2013-12-01T00:00:00
16646452;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;39;;;41301;749877.32;1000704.94;2013-12-01T00:00:00
16646479;546852;Èernìves;;;;;20095;Èernìves;;;è.p.;41;;;41301;749729.33;1000816.02;2013-12-01T00:00:00
