Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1853511;572357;Desná;;;;;25631;Desná;;;è.p.;1;;;57001;619052.56;1090123.90;2013-12-06T00:00:00
1853520;572357;Desná;;;;;25631;Desná;;;è.p.;2;;;57001;619020.32;1090096.08;2022-10-31T00:00:00
1853538;572357;Desná;;;;;25631;Desná;;;è.p.;3;;;57001;618921.76;1090089.46;2022-10-31T00:00:00
1853546;572357;Desná;;;;;25631;Desná;;;è.p.;5;;;57001;618864.12;1090047.25;2022-10-31T00:00:00
1853554;572357;Desná;;;;;25631;Desná;;;è.p.;6;;;57001;618789.72;1089987.12;2022-10-31T00:00:00
1853562;572357;Desná;;;;;25631;Desná;;;è.p.;8;;;57001;618717.09;1089973.76;2022-10-31T00:00:00
1853571;572357;Desná;;;;;25631;Desná;;;è.p.;9;;;57001;618629.94;1089960.26;2013-12-06T00:00:00
1853589;572357;Desná;;;;;25631;Desná;;;è.p.;10;;;57001;618603.69;1089948.81;2013-12-06T00:00:00
1853601;572357;Desná;;;;;25631;Desná;;;è.p.;12;;;57001;618515.25;1089972.90;2013-12-06T00:00:00
1853619;572357;Desná;;;;;25631;Desná;;;è.p.;13;;;57001;618336.15;1090000.83;2013-12-06T00:00:00
1853627;572357;Desná;;;;;25631;Desná;;;è.p.;14;;;57001;618303.64;1089971.16;2022-10-31T00:00:00
1853635;572357;Desná;;;;;25631;Desná;;;è.p.;15;;;57001;618265.25;1089994.43;2013-12-06T00:00:00
1853643;572357;Desná;;;;;25631;Desná;;;è.p.;16;;;57001;618277.41;1089942.52;2022-10-31T00:00:00
1853651;572357;Desná;;;;;25631;Desná;;;è.p.;17;;;57001;618268.63;1089923.70;2013-12-06T00:00:00
1853660;572357;Desná;;;;;25631;Desná;;;è.p.;18;;;57001;618227.45;1089887.84;2022-10-31T00:00:00
1853678;572357;Desná;;;;;25631;Desná;;;è.p.;19;;;57001;618216.38;1089859.07;2013-12-06T00:00:00
1853686;572357;Desná;;;;;25631;Desná;;;è.p.;20;;;57001;618187.00;1089825.42;2013-12-06T00:00:00
1853694;572357;Desná;;;;;25631;Desná;;;è.p.;21;;;57001;618245.25;1089955.94;2013-12-06T00:00:00
1853708;572357;Desná;;;;;25631;Desná;;;è.p.;22;;;57001;618167.19;1089799.23;2013-12-06T00:00:00
1853716;572357;Desná;;;;;25631;Desná;;;è.p.;23;;;57001;618134.74;1089772.50;2022-10-31T00:00:00
1853724;572357;Desná;;;;;25631;Desná;;;è.p.;24;;;57001;618111.44;1089759.39;2013-12-06T00:00:00
1853732;572357;Desná;;;;;25631;Desná;;;è.p.;25;;;57001;618076.56;1089726.94;2013-12-06T00:00:00
1853741;572357;Desná;;;;;25631;Desná;;;è.p.;26;;;57001;618034.19;1089686.18;2013-12-06T00:00:00
1853759;572357;Desná;;;;;25631;Desná;;;è.p.;27;;;57001;617979.19;1089638.70;2013-12-06T00:00:00
1853767;572357;Desná;;;;;25631;Desná;;;è.p.;28;;;57001;618075.25;1089853.35;2013-12-06T00:00:00
1853775;572357;Desná;;;;;25631;Desná;;;è.p.;29;;;57001;618110.63;1089865.50;2013-12-06T00:00:00
1853783;572357;Desná;;;;;25631;Desná;;;è.p.;30;;;57001;618120.12;1089892.07;2022-10-31T00:00:00
1853791;572357;Desná;;;;;25631;Desná;;;è.p.;32;;;57001;618169.06;1089937.69;2013-12-06T00:00:00
1853805;572357;Desná;;;;;25631;Desná;;;è.p.;33;;;57001;618210.75;1090003.85;2022-05-30T00:00:00
1853813;572357;Desná;;;;;25631;Desná;;;è.p.;34;;;57001;618243.27;1090012.77;2022-08-30T00:00:00
1853821;572357;Desná;;;;;25631;Desná;;;è.p.;35;;;57001;618235.98;1090047.56;2013-12-06T00:00:00
1853830;572357;Desná;;;;;25631;Desná;;;è.p.;36;;;57001;618238.25;1090058.76;2013-12-06T00:00:00
1853856;572357;Desná;;;;;25631;Desná;;;è.p.;39;;;57001;618349.44;1090097.87;2013-12-06T00:00:00
1853864;572357;Desná;;;;;25631;Desná;;;è.p.;40;;;57001;618329.13;1090063.50;2013-12-06T00:00:00
