KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
73066702;570826;Kosmonosy;;;;;402885;Kosmonosy;290823;Sadov·;Ë.p.;1264;;;29306;701785.98;1008678.74;2014-11-03T00:00:00
73068152;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1116;;;29306;702361.35;1008588.33;2014-09-19T00:00:00
73107361;570826;Kosmonosy;;;;;402885;Kosmonosy;290891;Boleslavsk·;Ë.p.;1270;;;29306;701728.65;1009226.53;2014-10-06T00:00:00
73133906;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;134;;;29301;699434.30;1008541.80;2014-10-15T00:00:00
73301124;570826;Kosmonosy;;;;;402885;Kosmonosy;290807;Puökinova;Ë.p.;1266;;;29306;701549.93;1008840.88;2014-12-22T00:00:00
73361925;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.p.;1255;;;29306;702739.71;1009459.93;2015-01-21T00:00:00
73515027;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;176;;;29301;699371.91;1008100.00;2015-03-17T00:00:00
73644617;570826;Kosmonosy;;;;;402885;Kosmonosy;290793;Podz·meck·;Ë.p.;1269;;;29306;702316.52;1009671.87;2015-04-30T00:00:00
73660507;570826;Kosmonosy;;;;;402885;Kosmonosy;771457;Na Svahu;Ë.p.;1100;;;29306;702286.77;1008437.99;2015-05-21T00:00:00
73686425;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;801;;;29306;702850.65;1009313.33;2015-05-15T00:00:00
73859907;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;149;;;29301;699616.56;1008435.96;2015-07-20T00:00:00
74000012;570826;Kosmonosy;;;;;402885;Kosmonosy;290785;Pod Oborou;Ë.p.;1268;;;29306;702762.69;1008724.56;2015-08-31T00:00:00
74040685;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;145;;;29301;699578.73;1008519.57;2015-09-09T00:00:00
74041100;570826;Kosmonosy;;;;;402885;Kosmonosy;290815;Deb¯sk·;Ë.p.;1247;;;29306;702360.29;1008847.46;2015-09-09T00:00:00
74042122;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;141;;;29306;703070.32;1008688.02;2015-09-16T00:00:00
74042645;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;138;;;29306;703020.42;1008699.31;2015-09-16T00:00:00
74043285;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;324;;;29306;702664.02;1008464.64;2015-09-16T00:00:00
74069136;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;522;;;29306;703190.87;1008368.24;2025-03-07T00:00:00
74455150;570826;Kosmonosy;;;;;402885;Kosmonosy;771686;P¯ÌËn·;Ë.p.;1220;;;29306;702315.86;1008619.43;2016-01-13T00:00:00
74650505;570826;Kosmonosy;;;;;402885;Kosmonosy;290891;Boleslavsk·;Ë.p.;1265;;;29306;701725.41;1009288.83;2016-03-01T00:00:00
74866052;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;128;;;29301;699464.89;1008589.14;2016-04-11T00:00:00
74927523;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;172;;;29301;698784.44;1008384.40;2016-04-28T00:00:00
74934112;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;624;;;29306;703032.02;1008265.88;2016-04-28T00:00:00
75045371;570826;Kosmonosy;;;;;402885;Kosmonosy;290947;Pr˘myslov·;Ë.p.;1267;;;29306;701179.43;1010229.89;2016-05-25T00:00:00
75048949;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1271;;;29306;702141.86;1008384.23;2016-05-26T00:00:00
75049031;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1277;;;29306;702104.43;1008384.53;2016-05-26T00:00:00
75225891;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;173;;;29301;699410.24;1008006.76;2016-07-25T00:00:00
75245086;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;129;;;29301;699444.70;1008584.00;2016-08-03T00:00:00
75245256;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;130;;;29301;699437.58;1008583.01;2016-08-03T00:00:00
75245566;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;131;;;29301;699423.32;1008579.28;2016-08-03T00:00:00
75245680;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;132;;;29301;699416.88;1008578.18;2016-08-03T00:00:00
