Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
14758555;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;1;;;37821;728749.90;1143096.45;2022-10-12T00:00:00
14758563;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;2;;;37821;728788.66;1142990.45;2022-10-12T00:00:00
14758571;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;3;;;37821;728817.64;1142963.78;2022-10-12T00:00:00
14758580;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;4;;;37821;728834.44;1143009.88;2013-12-04T00:00:00
14758598;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;5;;;37821;728921.80;1142884.28;2022-10-12T00:00:00
14758601;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;6;;;37821;728956.63;1142896.15;2022-10-12T00:00:00
14758610;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;7;;;37821;728955.66;1142950.17;2022-10-12T00:00:00
14758628;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;8;;;37821;728908.31;1143026.13;2013-12-04T00:00:00
14758636;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;9;;;37821;728890.19;1143066.75;2013-12-04T00:00:00
14758644;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;10;;;37821;728871.11;1143083.52;2022-10-12T00:00:00
14758652;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;11;;;37821;728848.22;1143097.21;2022-10-12T00:00:00
14758661;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;12;;;37821;728824.66;1143104.39;2022-10-12T00:00:00
14758679;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;13;;;37821;728779.68;1143127.38;2022-10-12T00:00:00
14758687;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;14;;;37821;728906.13;1143171.00;2013-12-04T00:00:00
14758695;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;15;;;37821;728727.56;1143134.88;2013-12-04T00:00:00
14758709;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;16;;;37821;728419.85;1142827.37;2022-10-12T00:00:00
14758717;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;17;;;37821;728891.81;1142964.20;2022-10-12T00:00:00
14758725;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;18;;;37821;728727.44;1143148.19;2022-10-12T00:00:00
14758733;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;19;;;37821;728728.58;1143104.57;2022-10-12T00:00:00
14758741;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;20;;;37821;729000.79;1142904.99;2022-10-12T00:00:00
14758750;507695;Zбhoшн;;;;;121720;Zбhoшн;;;и.p.;21;;;37821;728892.44;1142999.25;2013-12-04T00:00:00
