Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
452700;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;2;;;68341;564016.18;1164497.60;2013-12-04T00:00:00
452718;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;3;;;68341;563758.00;1164375.41;2013-12-04T00:00:00
452726;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;4;;;68341;563766.04;1164343.43;2013-12-04T00:00:00
452734;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;5;;;68341;563742.37;1164334.44;2022-11-18T00:00:00
452742;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;6;;;68341;563727.81;1164334.51;2022-11-18T00:00:00
452751;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;7;;;68341;563708.33;1164350.73;2013-12-04T00:00:00
452769;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;8;;;68341;563716.37;1164371.45;2013-12-04T00:00:00
452777;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;9;;;68341;563719.56;1164404.98;2013-12-04T00:00:00
452785;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;11;;;68341;563886.35;1164236.79;2013-12-04T00:00:00
452793;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;12;;;68341;563744.48;1164536.45;2013-12-04T00:00:00
452807;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;13;;;68341;563745.65;1164505.78;2013-12-04T00:00:00
452815;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;14;;;68341;563743.97;1164490.49;2013-12-04T00:00:00
452823;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;15;;;68341;563726.89;1164496.62;2022-11-18T00:00:00
452831;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;16;;;68341;563712.65;1164503.77;2013-12-04T00:00:00
452840;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;17;;;68341;563699.75;1164510.01;2013-12-04T00:00:00
452858;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;18;;;68341;563682.17;1164519.26;2013-12-04T00:00:00
452866;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;19;;;68341;563662.23;1164527.91;2013-12-04T00:00:00
452874;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;20;;;68341;563652.06;1164533.74;2013-12-04T00:00:00
452882;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;21;;;68341;563635.14;1164536.96;2013-12-04T00:00:00
452891;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;22;;;68341;563627.10;1164547.01;2013-12-04T00:00:00
452904;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;23;;;68341;563632.85;1164567.56;2022-11-18T00:00:00
452912;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;24;;;68341;563535.54;1164583.31;2013-12-04T00:00:00
452921;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;25;;;68341;563517.26;1164583.94;2013-12-04T00:00:00
452939;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;26;;;68341;563498.31;1164575.53;2022-11-18T00:00:00
452947;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;27;;;68341;563482.90;1164576.34;2013-12-04T00:00:00
452955;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;28;;;68341;563469.85;1164573.08;2013-12-04T00:00:00
452963;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;29;;;68341;563456.08;1164561.33;2013-12-04T00:00:00
452971;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;30;;;68341;563440.50;1164560.89;2013-12-04T00:00:00
452980;593087;Hvìzdlice;;;;;50148;Nové Hvìzdlice;;;è.p.;31;;;68341;563426.01;1164556.32;2013-12-04T00:00:00
