Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
16532384;545490;Holubov;;;;;41475;Holubov;;;è.p.;1;;;38203;768355.14;1173926.39;2013-12-07T00:00:00
16532392;545490;Holubov;;;;;41475;Holubov;;;è.p.;2;;;38203;768357.70;1173915.98;2018-03-02T00:00:00
16532406;545490;Holubov;;;;;41475;Holubov;;;è.p.;3;;;38203;768346.89;1173880.11;2014-02-25T00:00:00
16532414;545490;Holubov;;;;;41475;Holubov;;;è.p.;4;;;38203;768332.35;1173861.35;2013-12-07T00:00:00
16532422;545490;Holubov;;;;;41475;Holubov;;;è.p.;5;;;38203;768316.77;1173862.22;2013-12-07T00:00:00
16532431;545490;Holubov;;;;;41475;Holubov;;;è.p.;6;;;38203;768293.97;1173867.82;2013-12-07T00:00:00
16532449;545490;Holubov;;;;;41475;Holubov;;;è.p.;7;;;38203;768276.38;1173870.46;2013-12-07T00:00:00
16532457;545490;Holubov;;;;;41475;Holubov;;;è.p.;8;;;38203;768245.28;1173884.32;2013-12-07T00:00:00
16532465;545490;Holubov;;;;;41475;Holubov;;;è.p.;9;;;38203;768241.01;1173899.53;2016-03-17T00:00:00
16532473;545490;Holubov;;;;;41475;Holubov;;;è.p.;10;;;38203;768398.75;1173930.81;2013-12-07T00:00:00
16532481;545490;Holubov;;;;;41475;Holubov;;;è.p.;11;;;38203;768222.44;1173930.22;2013-12-07T00:00:00
16532490;545490;Holubov;;;;;41475;Holubov;;;è.p.;12;;;38203;768218.71;1173954.35;2013-12-07T00:00:00
16532503;545490;Holubov;;;;;41475;Holubov;;;è.p.;13;;;38203;768356.47;1173866.67;2013-12-07T00:00:00
16532511;545490;Holubov;;;;;41475;Holubov;;;è.p.;14;;;38203;768241.37;1173941.45;2013-12-07T00:00:00
16532520;545490;Holubov;;;;;41475;Holubov;;;è.p.;15;;;38203;768255.49;1173950.56;2013-12-07T00:00:00
16532538;545490;Holubov;;;;;41475;Holubov;;;è.p.;16;;;38203;768276.16;1173942.82;2013-12-07T00:00:00
16532546;545490;Holubov;;;;;41475;Holubov;;;è.p.;17;;;38203;768287.67;1173973.77;2013-12-07T00:00:00
16532554;545490;Holubov;;;;;41475;Holubov;;;è.p.;18;;;38203;768314.04;1173954.05;2013-12-07T00:00:00
16532562;545490;Holubov;;;;;41475;Holubov;;;è.p.;19;;;38203;768344.14;1173964.69;2017-12-15T00:00:00
16532571;545490;Holubov;;;;;41475;Holubov;;;è.p.;20;;;38203;767629.73;1173503.43;2013-12-07T00:00:00
16532589;545490;Holubov;;;;;41475;Holubov;;;è.p.;21;;;38203;767325.35;1173650.44;2013-12-07T00:00:00
16532597;545490;Holubov;;;;;41475;Holubov;;;è.p.;22;;;38203;768268.25;1173911.57;2013-12-07T00:00:00
16532601;545490;Holubov;;;;;41475;Holubov;;;è.p.;23;;;38203;767819.42;1173466.22;2013-12-07T00:00:00
16532619;545490;Holubov;;;;;41475;Holubov;;;è.p.;24;;;38203;767542.47;1173458.61;2013-12-07T00:00:00
16532627;545490;Holubov;;;;;41475;Holubov;;;è.p.;25;;;38203;767668.11;1173508.86;2013-12-07T00:00:00
16532635;545490;Holubov;;;;;41475;Holubov;;;è.p.;26;;;38203;767309.16;1173555.86;2013-12-07T00:00:00
16532643;545490;Holubov;;;;;41475;Holubov;;;è.p.;27;;;38203;768280.21;1173766.22;2013-12-07T00:00:00
16532651;545490;Holubov;;;;;41475;Holubov;;;è.p.;28;;;38203;767201.20;1173830.02;2013-12-07T00:00:00
16532660;545490;Holubov;;;;;41475;Holubov;;;è.p.;29;;;38203;768864.34;1173115.81;2013-12-07T00:00:00
16532678;545490;Holubov;;;;;41475;Holubov;;;è.p.;30;;;38203;767252.68;1173883.61;2013-12-07T00:00:00
16532686;545490;Holubov;;;;;41475;Holubov;;;è.p.;32;;;38203;767255.24;1173870.61;2013-12-07T00:00:00
16532694;545490;Holubov;;;;;41475;Holubov;;;è.p.;33;;;38203;768252.77;1173854.64;2013-12-07T00:00:00
