Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7216769;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;83;;;54906;621397.58;1032937.44;2013-11-29T00:00:00
7216777;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;84;;;54906;621458.96;1032921.66;2013-11-29T00:00:00
7216807;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;87;;;54906;621517.02;1032989.02;2013-11-29T00:00:00
7216815;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;88;;;54906;621473.73;1032997.06;2013-11-29T00:00:00
7216823;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;89;;;54906;621486.07;1032965.55;2013-11-29T00:00:00
7216831;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;90;;;54906;621460.06;1032943.49;2013-11-29T00:00:00
7216840;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;91;;;54906;621430.91;1032978.78;2013-11-29T00:00:00
7216858;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;92;;;54906;621429.30;1033033.26;2013-11-29T00:00:00
7216866;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;93;;;54906;621438.29;1033045.66;2013-11-29T00:00:00
7216874;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;94;;;54906;621388.21;1033035.85;2013-11-29T00:00:00
7216882;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;95;;;54906;621312.42;1033062.61;2013-11-29T00:00:00
7216891;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;96;;;54906;621359.26;1033082.30;2013-11-29T00:00:00
