Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
9177108;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;1;;;44001;779598.93;1001719.36;2013-12-01T00:00:00
9177116;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;2;;;44001;779598.25;1001705.02;2013-12-01T00:00:00
9177124;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;3;;;44001;779577.92;1001691.38;2013-12-01T00:00:00
9177132;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;4;;;44001;779576.09;1001673.46;2013-12-01T00:00:00
9177141;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;5;;;44001;779578.13;1001649.36;2013-12-01T00:00:00
9177159;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;6;;;44001;779571.88;1001635.03;2013-12-01T00:00:00
9177167;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;7;;;44001;779583.81;1001608.27;2013-12-01T00:00:00
9177175;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;8;;;44001;779526.84;1001615.93;2013-12-01T00:00:00
9177183;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;10;;;44001;779629.93;1001752.07;2013-12-01T00:00:00
9177191;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;11;;;44001;779541.48;1001687.98;2013-12-01T00:00:00
9177205;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;12;;;44001;779543.93;1001700.00;2013-12-01T00:00:00
9177213;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;13;;;44001;779534.56;1001765.52;2013-12-01T00:00:00
9177221;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;14;;;44001;779567.24;1001791.11;2013-12-01T00:00:00
9177230;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;15;;;44001;779580.68;1001781.45;2013-12-01T00:00:00
9177248;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;17;;;44001;779600.36;1001773.00;2013-12-01T00:00:00
9177256;546429;Chraberce;;;;;101893;Chraberce;;;è.p.;18;;;44001;779609.24;1001778.22;2013-12-01T00:00:00
