Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
7092059;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;1;;;33844;800988.24;1076513.66;2013-12-06T00:00:00
7092067;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;2;;;33844;800970.80;1076509.35;2013-12-06T00:00:00
7092075;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;3;;;33844;801016.86;1077478.78;2013-12-06T00:00:00
7092083;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;4;;;33844;800392.56;1076369.25;2013-12-06T00:00:00
7092091;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;5;;;33844;800915.82;1076547.08;2013-12-06T00:00:00
7092105;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;6;;;33844;800817.15;1076697.08;2013-12-06T00:00:00
7092113;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;7;;;33844;800934.12;1076594.40;2013-12-06T00:00:00
7092121;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;8;;;33844;800890.76;1076353.98;2013-12-06T00:00:00
7092130;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;9;;;33844;800997.29;1076555.18;2013-12-06T00:00:00
7092148;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;10;;;33844;801011.87;1076548.92;2013-12-06T00:00:00
7092156;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;11;;;33844;801029.91;1076561.07;2013-12-06T00:00:00
7092164;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;12;;;33844;801044.07;1076555.69;2013-12-06T00:00:00
7092172;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;13;;;33844;801058.71;1076554.22;2013-12-06T00:00:00
7092181;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;14;;;33844;800734.88;1076297.38;2013-12-06T00:00:00
7092199;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;15;;;33844;801091.71;1076568.43;2013-12-06T00:00:00
7092202;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;16;;;33844;801136.22;1076585.04;2013-12-06T00:00:00
7092211;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;17;;;33844;801124.40;1076802.31;2013-12-06T00:00:00
7092229;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;18;;;33844;801426.42;1076728.47;2013-12-06T00:00:00
7092237;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;19;;;33844;800289.69;1076240.69;2013-12-06T00:00:00
7092245;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;20;;;33844;801164.83;1076487.45;2013-12-06T00:00:00
7092253;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;21;;;33844;801176.06;1076467.63;2013-12-06T00:00:00
7092261;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;22;;;33844;801156.60;1076455.16;2013-12-06T00:00:00
7092270;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;23;;;33844;801144.39;1076431.31;2013-12-06T00:00:00
7092288;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;24;;;33844;801127.13;1076446.49;2013-12-06T00:00:00
7092296;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;25;;;33844;801134.65;1076469.26;2013-12-06T00:00:00
7092300;559776;Dobרםv;;;;;28002;Dobרםv;;;ט.p.;26;;;33844;801083.46;1076432.71;2013-12-06T00:00:00
