Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
24607789;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;1;;;66483;615754.34;1154814.80;2013-12-05T00:00:00
24607797;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;2;;;66483;615790.90;1154754.53;2013-12-05T00:00:00
24607801;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;3;;;66483;615802.62;1154733.49;2013-12-05T00:00:00
24607819;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;4;;;66483;615816.00;1154707.36;2013-12-05T00:00:00
24607827;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;5;;;66483;615830.71;1154682.48;2013-12-05T00:00:00
24607835;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;6;;;66483;615848.94;1154652.41;2013-12-05T00:00:00
24607843;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;7;;;66483;615866.57;1154620.18;2013-12-05T00:00:00
24607851;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;8;;;66483;615876.30;1154603.69;2013-12-05T00:00:00
24607860;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;9;;;66483;615903.42;1154583.53;2013-12-05T00:00:00
24607878;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;10;;;66483;615912.91;1154618.06;2013-12-05T00:00:00
24607886;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;11;;;66483;615930.11;1154653.46;2013-12-05T00:00:00
24607894;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;12;;;66483;615889.51;1154673.66;2013-12-05T00:00:00
24607908;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;13;;;66483;615895.71;1154721.06;2013-12-05T00:00:00
24607924;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;15;;;66483;615873.14;1154762.83;2013-12-05T00:00:00
24607932;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;16;;;66483;616372.37;1154896.71;2013-12-05T00:00:00
24607941;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;17;;;66483;615025.91;1154593.94;2013-12-05T00:00:00
24607959;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;18;;;66483;614986.95;1154610.89;2013-12-05T00:00:00
24607967;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;19;;;66483;614905.21;1154679.09;2013-12-05T00:00:00
24607975;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;20;;;66483;614835.24;1154577.97;2013-12-05T00:00:00
24607983;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;21;;;66483;615039.28;1154393.24;2013-12-05T00:00:00
24607991;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;22;;;66483;615653.47;1154216.15;2013-12-05T00:00:00
24608009;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;23;;;66483;615775.52;1154593.06;2013-12-05T00:00:00
24608017;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;24;;;66483;615859.02;1154635.37;2013-12-05T00:00:00
24608025;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;25;;;66483;615832.94;1154781.63;2013-12-05T00:00:00
24608033;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;26;;;66483;615776.14;1154803.80;2013-12-05T00:00:00
24608041;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;27;;;66483;615736.54;1154782.40;2013-12-05T00:00:00
24608050;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;28;;;66483;615726.54;1154790.60;2013-12-05T00:00:00
24608068;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;29;;;66483;615925.20;1154543.72;2013-12-05T00:00:00
24608076;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;30;;;66483;615727.00;1154677.00;2013-12-05T00:00:00
24608084;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;31;;;66483;615860.71;1154726.46;2013-12-05T00:00:00
24608092;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;32;;;66483;615684.56;1155181.75;2013-12-05T00:00:00
24608106;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;33;;;66483;615675.41;1154778.20;2013-12-05T00:00:00
24608114;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;34;;;66483;615665.66;1154778.00;2013-12-05T00:00:00
24608122;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;35;;;66483;615821.94;1154806.23;2013-12-05T00:00:00
24608131;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;36;;;66483;615955.12;1154488.00;2013-12-05T00:00:00
24608149;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;37;;;66483;615970.79;1154487.14;2013-12-05T00:00:00
24608157;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;38;;;66483;615976.37;1154481.12;2013-12-05T00:00:00
24608165;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;39;;;66483;615042.16;1154580.33;2013-12-05T00:00:00
24608173;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;40;;;66483;615671.88;1154172.66;2013-12-05T00:00:00
24608181;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;41;;;66483;615999.37;1154451.44;2013-12-05T00:00:00
24608190;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;42;;;66483;616008.17;1154440.12;2013-12-05T00:00:00
24608203;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;43;;;66483;615989.49;1154464.12;2013-12-05T00:00:00
24608220;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;45;;;66483;614999.73;1154616.17;2013-12-05T00:00:00
24608238;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;46;;;66483;616046.33;1154388.64;2013-12-05T00:00:00
24608246;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;47;;;66483;614981.74;1154621.58;2013-12-05T00:00:00
24608254;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;48;;;66483;615969.79;1154590.11;2013-12-05T00:00:00
24608262;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;49;;;66483;616058.33;1154374.04;2013-12-05T00:00:00
24608271;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;50;;;66483;615699.66;1155068.65;2013-12-05T00:00:00
24608289;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;51;;;66483;615694.66;1155078.25;2013-12-05T00:00:00
24608297;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;52;;;66483;616036.09;1154400.56;2013-12-05T00:00:00
24608301;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;53;;;66483;615739.18;1154651.75;2013-12-05T00:00:00
24608319;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;54;;;66483;615711.26;1155049.45;2013-12-05T00:00:00
24608327;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;55;;;66483;616279.98;1154025.27;2013-12-05T00:00:00
24608335;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;56;;;66483;616285.81;1154015.23;2013-12-05T00:00:00
24608343;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;57;;;66483;616016.77;1154428.20;2013-12-05T00:00:00
24608351;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;58;;;66483;615796.54;1154790.60;2013-12-05T00:00:00
24608360;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;59;;;66483;615970.11;1154612.93;2013-12-05T00:00:00
24608378;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;60;;;66483;615961.65;1154607.51;2013-12-05T00:00:00
24608386;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;61;;;66483;615840.06;1154668.25;2013-12-05T00:00:00
24608394;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;62;;;66483;615876.32;1154476.00;2013-12-05T00:00:00
24608408;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;63;;;66483;615825.93;1154836.21;2013-12-05T00:00:00
24608416;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;64;;;66483;615820.14;1154847.03;2013-12-05T00:00:00
24608424;549789;Ψνθky;;;;;30805;Ψνθky;;;θ.p.;65;;;66483;615831.80;1154494.91;2013-12-05T00:00:00
