Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
2744392;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;1;;;67501;642334.91;1155212.42;2020-09-02T00:00:00
2744406;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;2;;;67501;642263.37;1155276.50;2020-09-02T00:00:00
2744422;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;4;;;67501;642272.63;1155321.64;2020-09-15T00:00:00
2744431;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;5;;;67501;642304.19;1155311.58;2013-12-05T00:00:00
2744449;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;6;;;67501;642268.56;1155357.95;2020-09-02T00:00:00
2744457;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;7;;;67501;642288.19;1155421.96;2013-12-05T00:00:00
2744465;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;8;;;67501;642246.87;1155298.13;2020-09-02T00:00:00
2744473;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;9;;;67501;642248.78;1155354.91;2020-09-15T00:00:00
2744481;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;10;;;67501;642214.57;1155316.76;2013-12-05T00:00:00
2744490;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;11;;;67501;642217.37;1155273.43;2020-09-04T00:00:00
2744503;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;12;;;67501;642183.70;1155280.80;2020-09-22T00:00:00
2744511;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;13;;;67501;642168.91;1155218.46;2013-12-05T00:00:00
2744520;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;14;;;67501;642220.25;1155235.44;2020-09-07T00:00:00
2744538;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;15;;;67501;642246.78;1155201.12;2013-12-05T00:00:00
2744546;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;16;;;67501;642276.69;1155202.80;2020-09-07T00:00:00
2744554;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;17;;;67501;642407.79;1155111.00;2020-09-07T00:00:00
2744562;590509;ָםmלר;;;;;23892;ָםmלר;;;ט.p.;18;;;67501;642342.05;1155366.13;2020-09-09T00:00:00
