Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1945335;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;49;;;67962;602874.70;1116392.62;2013-12-03T00:00:00
1945351;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;52;;;67962;602521.77;1116450.22;2013-12-03T00:00:00
1945360;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;53;;;67962;602835.32;1116428.15;2013-12-03T00:00:00
1945378;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;54;;;67962;602537.05;1116457.59;2013-12-03T00:00:00
1945386;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;55;;;67962;603031.00;1116082.56;2013-12-03T00:00:00
1945394;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;56;;;67962;602417.12;1116667.74;2013-12-03T00:00:00
1945408;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;57;;;67962;602581.63;1116513.78;2013-12-03T00:00:00
1945416;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;58;;;67962;602921.46;1116263.07;2013-12-03T00:00:00
1945424;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;59;;;67962;602609.21;1116475.98;2013-12-03T00:00:00
1945432;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;60;;;67962;602717.33;1116511.50;2013-12-03T00:00:00
1945441;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;61;;;67962;602498.22;1116474.18;2013-12-03T00:00:00
1945459;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;62;;;67962;603139.63;1116099.27;2018-08-27T00:00:00
1945467;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;63;;;67962;603223.54;1116176.55;2013-12-03T00:00:00
1945475;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;64;;;67962;603272.60;1116025.52;2013-12-03T00:00:00
1945483;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;65;;;67962;603078.64;1116079.41;2013-12-03T00:00:00
1945491;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;66;;;67962;602396.72;1116635.80;2013-12-03T00:00:00
1945505;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;67;;;67962;603298.74;1116175.03;2013-12-03T00:00:00
1945513;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;68;;;67962;602497.99;1116602.60;2013-12-03T00:00:00
1945521;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;70;;;67962;602936.53;1116395.40;2013-12-03T00:00:00
1945530;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;71;;;67962;602562.02;1116712.23;2013-12-03T00:00:00
1945548;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;72;;;67962;602436.41;1116700.89;2013-12-03T00:00:00
1945556;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;73;;;67962;602583.99;1116435.00;2013-12-03T00:00:00
1945564;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;74;;;67962;602387.24;1116739.98;2013-12-03T00:00:00
1945572;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;75;;;67962;603116.75;1116160.03;2013-12-03T00:00:00
1945581;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;76;;;67962;602369.74;1116672.68;2013-12-03T00:00:00
1945599;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;77;;;67962;602855.02;1116338.67;2013-12-03T00:00:00
1945602;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;78;;;67962;602805.94;1116444.28;2013-12-03T00:00:00
1945611;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;79;;;67962;602970.15;1116236.65;2013-12-03T00:00:00
1945629;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;80;;;67962;602374.02;1116706.77;2013-12-03T00:00:00
1945637;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;81;;;67962;603027.94;1116226.76;2013-12-03T00:00:00
