Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
3569934;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;24;;;59401;633928.56;1142418.00;2013-12-03T00:00:00
3569942;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;25;;;59401;633948.38;1142393.50;2013-12-03T00:00:00
3569951;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;26;;;59401;633997.31;1142421.75;2013-12-03T00:00:00
3569969;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;28;;;59401;634013.52;1142374.13;2021-03-04T00:00:00
3569977;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;29;;;59401;634015.56;1142360.25;2013-12-03T00:00:00
3569985;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;30;;;59401;634022.63;1142339.00;2013-12-03T00:00:00
3569993;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;32;;;59401;634054.50;1142324.88;2013-12-03T00:00:00
3570002;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;33;;;59401;634066.13;1142308.88;2013-12-03T00:00:00
3570011;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;34;;;59401;634067.44;1142281.75;2013-12-03T00:00:00
3570029;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;36;;;59401;634092.44;1142273.00;2013-12-03T00:00:00
3570037;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;37;;;59401;634100.81;1142249.50;2013-12-03T00:00:00
3570045;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;38;;;59401;634133.96;1142223.03;2023-07-31T00:00:00
3570053;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;39;;;59401;634145.92;1142205.19;2013-12-03T00:00:00
3570061;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;40;;;59401;634183.94;1142139.00;2013-12-03T00:00:00
3570070;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;41;;;59401;634192.94;1142116.88;2013-12-03T00:00:00
3570088;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;42;;;59401;634235.63;1141832.75;2013-12-03T00:00:00
3570096;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;43;;;59401;634325.81;1142047.13;2013-12-03T00:00:00
3570100;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;45;;;59401;634164.13;1142169.13;2013-12-03T00:00:00
3570118;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;46;;;59401;633965.19;1142387.75;2013-12-03T00:00:00
3570126;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;47;;;59401;634034.94;1142339.00;2013-12-03T00:00:00
3570134;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;48;;;59401;634145.56;1142256.25;2013-12-03T00:00:00
3570142;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;49;;;59401;634238.56;1142080.25;2013-12-03T00:00:00
3570151;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;50;;;59401;634018.38;1142468.88;2013-12-03T00:00:00
3570169;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;51;;;59401;634192.94;1142288.25;2013-12-03T00:00:00
3570177;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;52;;;59401;634041.03;1142381.79;2013-12-03T00:00:00
3570185;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;53;;;59401;634093.00;1142378.88;2013-12-03T00:00:00
3570193;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;54;;;59401;634260.75;1142067.75;2013-12-03T00:00:00
3570207;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;56;;;59401;634133.94;1142311.00;2013-12-03T00:00:00
3570215;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;57;;;59401;634007.56;1142413.88;2013-12-03T00:00:00
3570231;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;59;;;59401;634515.88;1141898.50;2013-12-03T00:00:00
3570240;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;60;;;59401;633936.94;1142446.75;2013-12-03T00:00:00
3570258;595730;Jabloòov;;;;;56251;Jabloòov;;;è.p.;61;;;59401;634171.44;1142156.88;2013-12-03T00:00:00
