Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
4101421;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;1;;;76321;503219.37;1181749.74;2013-12-03T00:00:00
4101448;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;3;;;76321;503321.05;1181898.62;2013-12-03T00:00:00
4101456;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;4;;;76321;503396.94;1181801.17;2013-12-03T00:00:00
4101464;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;5;;;76321;503420.61;1181809.32;2013-12-03T00:00:00
4101472;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;6;;;76321;503436.66;1181811.44;2013-12-03T00:00:00
4101481;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;7;;;76321;503436.77;1181827.39;2013-12-03T00:00:00
4101499;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;8;;;76321;503408.06;1181822.67;2013-12-03T00:00:00
4101502;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;9;;;76321;503382.36;1181865.32;2013-12-03T00:00:00
4101529;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;12;;;76321;503184.51;1182008.26;2013-12-03T00:00:00
4101537;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;13;;;76321;503282.86;1181880.23;2013-12-03T00:00:00
4101553;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;15;;;76321;503627.61;1181882.97;2013-12-03T00:00:00
4101561;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;16;;;76321;503281.06;1181933.39;2013-12-03T00:00:00
4101570;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;17;;;76321;503292.13;1181924.06;2013-12-03T00:00:00
4101588;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;18;;;76321;503245.41;1181820.42;2013-12-03T00:00:00
4101596;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;19;;;76321;503250.64;1181863.44;2013-12-03T00:00:00
4101600;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;20;;;76321;503326.38;1181750.60;2013-12-03T00:00:00
4101618;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;21;;;76321;503237.34;1181795.89;2013-12-03T00:00:00
4101626;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;23;;;76321;503235.27;1181962.61;2013-12-03T00:00:00
4101634;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;24;;;76321;503217.37;1181984.02;2013-12-03T00:00:00
4101651;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;26;;;76321;503241.38;1182235.07;2013-12-03T00:00:00
4101669;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;27;;;76321;503252.54;1182176.32;2013-12-03T00:00:00
4101677;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;28;;;76321;503262.39;1182161.51;2013-12-03T00:00:00
4101685;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;29;;;76321;503267.86;1182149.02;2013-12-03T00:00:00
4101693;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;30;;;76321;503280.03;1182127.91;2013-12-03T00:00:00
4101707;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;31;;;76321;503279.10;1182107.96;2013-12-03T00:00:00
4101715;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;32;;;76321;503293.86;1182102.75;2013-12-03T00:00:00
4101723;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;33;;;76321;503244.39;1182295.07;2013-12-03T00:00:00
4101731;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;34;;;76321;503326.05;1182101.58;2013-12-03T00:00:00
4101740;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;35;;;76321;503303.94;1182093.34;2013-12-03T00:00:00
4101766;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;37;;;76321;503317.47;1182072.00;2013-12-03T00:00:00
4101774;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;38;;;76321;503642.22;1181972.11;2013-12-03T00:00:00
4101782;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;39;;;76321;503333.47;1182066.10;2013-12-03T00:00:00
4101791;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;40;;;76321;503336.42;1182053.82;2013-12-03T00:00:00
4101804;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;41;;;76321;503350.75;1182046.89;2013-12-03T00:00:00
4101812;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;42;;;76321;503369.03;1182062.21;2013-12-03T00:00:00
4101821;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;43;;;76321;503383.72;1182047.64;2013-12-03T00:00:00
4101839;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;44;;;76321;503397.80;1182026.51;2013-12-03T00:00:00
4101847;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;45;;;76321;503399.62;1182065.80;2013-12-03T00:00:00
4101855;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;46;;;76321;503411.41;1182049.20;2013-12-03T00:00:00
4101863;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;47;;;76321;503433.40;1182061.72;2013-12-03T00:00:00
4101871;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;48;;;76321;503445.43;1182048.45;2019-11-11T00:00:00
4101898;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;50;;;76321;503692.49;1181886.24;2013-12-03T00:00:00
4101901;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;51;;;76321;503471.63;1182083.65;2013-12-03T00:00:00
4101910;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;52;;;76321;503506.85;1182045.40;2013-12-03T00:00:00
4101928;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;53;;;76321;503362.60;1181703.07;2013-12-03T00:00:00
4101936;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;54;;;76321;503482.61;1182024.83;2013-12-03T00:00:00
4101944;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;55;;;76321;503498.28;1182002.68;2013-12-03T00:00:00
4101952;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;56;;;76321;503648.35;1181909.38;2013-12-03T00:00:00
4101961;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;57;;;76321;503528.26;1182029.06;2013-12-03T00:00:00
4101979;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;58;;;76321;503528.45;1181980.39;2013-12-03T00:00:00
4101987;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;59;;;76321;503687.73;1181862.76;2013-12-03T00:00:00
4101995;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;60;;;76321;503578.36;1182007.80;2013-12-03T00:00:00
4102011;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;62;;;76321;503583.08;1181912.69;2013-12-03T00:00:00
4102029;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;63;;;76321;503630.31;1181981.20;2013-12-03T00:00:00
4102037;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;64;;;76321;503749.23;1181848.31;2013-12-03T00:00:00
4102045;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;65;;;76321;503552.99;1181987.00;2013-12-03T00:00:00
4102053;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;66;;;76321;503611.73;1181902.34;2013-12-03T00:00:00
4102061;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;67;;;76321;503415.48;1181750.39;2013-12-03T00:00:00
4102070;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;68;;;76321;503368.71;1181723.04;2013-12-03T00:00:00
4102088;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;69;;;76321;503722.94;1181779.48;2013-12-03T00:00:00
4102096;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;70;;;76321;503434.48;1182018.83;2013-12-03T00:00:00
4102100;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;71;;;76321;503558.26;1182018.49;2013-12-03T00:00:00
4102118;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;72;;;76321;503606.42;1181993.03;2013-12-03T00:00:00
4102134;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;74;;;76321;503360.65;1181757.49;2013-12-03T00:00:00
4102142;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;75;;;76321;503582.49;1181956.66;2013-12-03T00:00:00
4102151;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;76;;;76321;503363.22;1181736.56;2013-12-03T00:00:00
4102169;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;77;;;76321;503241.11;1181734.66;2013-12-03T00:00:00
4102177;557102;Bohuslavice nad Vlברם;;;;;6564;Bohuslavice nad Vlברם;;;ט.p.;78;;;76321;503255.26;1181952.49;2013-12-03T00:00:00
