Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
20960913;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;1;;;35735;861555.94;1003999.73;2013-12-05T00:00:00
20960921;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;2;;;35735;861233.44;1003878.06;2013-12-05T00:00:00
20960930;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;3;;;35735;862561.52;1005325.36;2022-10-18T00:00:00
20960948;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;4;;;35735;862697.56;1005208.94;2013-12-05T00:00:00
20960956;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;5;;;35735;861276.13;1003909.44;2013-12-05T00:00:00
20960964;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;6;;;35735;861444.44;1003941.88;2013-12-05T00:00:00
20960972;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;7;;;35735;861400.88;1003958.50;2013-12-05T00:00:00
20960981;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;8;;;35735;861360.44;1003944.06;2013-12-05T00:00:00
20960999;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;9;;;35735;861610.50;1003971.81;2013-12-05T00:00:00
20961006;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;10;;;35735;861592.39;1003973.36;2018-04-19T00:00:00
20961014;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;11;;;35735;861443.88;1003967.63;2013-12-05T00:00:00
20961022;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;12;;;35735;861506.36;1003936.14;2013-12-05T00:00:00
20961031;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;14;;;35735;861158.94;1003830.00;2013-12-05T00:00:00
20961049;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;15;;;35735;861177.38;1003937.00;2013-12-05T00:00:00
20961057;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;16;;;35735;861150.75;1003901.06;2013-12-05T00:00:00
20961065;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;17;;;35735;861105.22;1003924.23;2022-10-18T00:00:00
20961073;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;19;;;35735;861213.44;1004036.38;2013-12-05T00:00:00
20961081;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;20;;;35735;861234.08;1004049.14;2018-04-19T00:00:00
20961090;538663;Tatrovice;;;;;186716;Tatrovice;;;и.p.;21;;;35735;861286.94;1003954.06;2013-12-05T00:00:00
