Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
6757243;554111;Pobмћovice;;;;;31917;Sezemнn;;;и.p.;7;;;34522;872315.31;1089721.13;2013-12-06T00:00:00
6757251;554111;Pobмћovice;;;;;31917;Sezemнn;;;и.p.;20;;;34522;872305.94;1089856.38;2013-12-06T00:00:00
6757260;554111;Pobмћovice;;;;;31917;Sezemнn;;;и.ev.;1;;;34522;872303.04;1089813.56;2022-10-25T00:00:00
6757278;554111;Pobмћovice;;;;;31917;Sezemнn;;;и.p.;2;;;34522;872386.45;1089770.26;2013-12-19T00:00:00
6757286;554111;Pobмћovice;;;;;31925;Љibanov;;;и.p.;1;;;34522;873172.77;1088581.82;2013-12-06T00:00:00
6757294;554111;Pobмћovice;;;;;31925;Љibanov;;;и.p.;3;;;34522;873188.63;1088472.63;2013-12-06T00:00:00
6757308;554111;Pobмћovice;;;;;31925;Љibanov;;;и.p.;6;;;34522;873064.25;1088365.13;2013-12-06T00:00:00
6836178;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;1;;;34522;864760.44;1090722.00;2013-12-06T00:00:00
6836186;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;2;;;34522;864737.50;1090745.00;2013-12-06T00:00:00
6836194;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;5;;;34522;864682.81;1090694.00;2013-12-06T00:00:00
6836208;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;6;;;34522;864664.94;1090713.75;2013-12-06T00:00:00
6836216;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;7;;;34522;864637.69;1090698.75;2013-12-06T00:00:00
6836224;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;8;;;34522;864803.94;1090695.25;2013-12-06T00:00:00
6836232;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;9;;;34522;864604.38;1090734.50;2013-12-06T00:00:00
6836241;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;11;;;34522;864590.19;1090621.63;2013-12-06T00:00:00
6836259;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;12;;;34522;864489.63;1090692.38;2013-12-06T00:00:00
6836267;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;14;;;34522;864474.69;1090634.50;2013-12-06T00:00:00
6836275;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;20;;;34522;864631.56;1090587.50;2013-12-06T00:00:00
6836283;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;21;;;34522;864580.63;1090445.00;2013-12-06T00:00:00
6836291;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;22;;;34522;864660.13;1090607.00;2013-12-06T00:00:00
6836305;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;23;;;34522;864671.56;1090584.25;2013-12-06T00:00:00
6836313;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;25;;;34522;864687.06;1090611.75;2013-12-06T00:00:00
6836321;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;29;;;34522;864700.38;1090641.63;2013-12-06T00:00:00
6836330;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;30;;;34522;864754.06;1090627.75;2013-12-06T00:00:00
6836356;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;32;;;34522;864522.19;1090571.00;2013-12-06T00:00:00
6836364;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;36;;;34522;864603.56;1090600.38;2013-12-06T00:00:00
6836372;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;37;;;34522;864783.94;1090688.38;2013-12-06T00:00:00
6836381;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;38;;;34522;864436.00;1090622.75;2013-12-06T00:00:00
6836399;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;42;;;34522;864440.25;1090726.25;2013-12-06T00:00:00
6836402;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.ev.;1;;;34522;864907.19;1090642.50;2013-12-06T00:00:00
6836411;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.ev.;2;;;34522;864944.00;1090651.00;2013-12-06T00:00:00
6836429;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.p.;40;;;34522;864624.63;1090644.13;2013-12-06T00:00:00
6836445;554111;Pobмћovice;;;;;107760;Ohniљќovice;;;и.ev.;5;;;34522;864375.04;1090590.06;2013-12-06T00:00:00
6836976;554111;Pobмћovice;;;;;107786;Љitboш;;;и.p.;2;;;34522;868583.75;1090453.25;2013-12-06T00:00:00
6836984;554111;Pobмћovice;;;;;107786;Љitboш;;;и.p.;5;;;34522;868562.89;1090418.19;2013-12-06T00:00:00
