Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
3707415;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;1;;;59251;620492.09;1130794.91;2022-10-23T00:00:00
3707423;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;2;;;59251;620539.77;1130804.60;2013-12-07T00:00:00
3707431;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;3;;;59251;620545.72;1130846.85;2022-10-23T00:00:00
3707440;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;4;;;59251;620559.40;1130878.59;2013-12-07T00:00:00
3707458;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;5;;;59251;620568.03;1130901.51;2013-12-07T00:00:00
3707466;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;6;;;59251;620616.74;1130962.17;2022-10-23T00:00:00
3707474;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;7;;;59251;620674.08;1130958.36;2013-12-07T00:00:00
3707482;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;8;;;59251;620668.16;1130949.82;2013-12-07T00:00:00
3707491;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;9;;;59251;620661.36;1130711.53;2013-12-07T00:00:00
3707504;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;10;;;59251;620662.35;1130874.58;2013-12-07T00:00:00
3707512;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;11;;;59251;620680.43;1130849.24;2013-12-07T00:00:00
3707521;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;12;;;59251;620678.21;1130829.55;2022-10-23T00:00:00
3707539;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;13;;;59251;620702.87;1130762.15;2013-12-07T00:00:00
3707547;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;14;;;59251;620602.33;1130758.24;2013-12-07T00:00:00
3707555;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;15;;;59251;620562.16;1130751.11;2013-12-07T00:00:00
3707563;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;16;;;59251;620546.74;1130774.76;2022-10-23T00:00:00
3707571;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;18;;;59251;620593.15;1130794.77;2013-12-07T00:00:00
3707580;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;20;;;59251;620676.28;1130688.52;2013-12-07T00:00:00
3707598;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;21;;;59251;620607.71;1130835.19;2013-12-07T00:00:00
3707601;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;23;;;59251;620776.86;1131028.81;2013-12-07T00:00:00
3707610;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;24;;;59251;620691.41;1130672.31;2013-12-07T00:00:00
3707628;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;25;;;59251;620695.64;1130920.59;2013-12-07T00:00:00
3707636;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;27;;;59251;620603.11;1130859.58;2013-12-07T00:00:00
3707644;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;28;;;59251;620616.20;1130843.22;2013-12-07T00:00:00
3707652;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;29;;;59251;619085.85;1130275.98;2013-12-07T00:00:00
3707661;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;31;;;59251;620717.05;1130795.35;2013-12-07T00:00:00
3707679;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;32;;;59251;620728.50;1130845.41;2013-12-07T00:00:00
3707687;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;33;;;59251;620741.88;1130952.96;2022-10-23T00:00:00
3707695;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;34;;;59251;620576.83;1130830.12;2013-12-07T00:00:00
3707709;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;36;;;59251;620573.54;1130921.85;2013-12-07T00:00:00
3707725;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;38;;;59251;620579.79;1130750.81;2013-12-07T00:00:00
3707733;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;40;;;59251;620399.15;1130958.23;2013-12-07T00:00:00
3707741;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;41;;;59251;620632.76;1130959.09;2013-12-07T00:00:00
3707750;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;42;;;59251;620673.05;1130993.80;2013-12-07T00:00:00
3707768;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;43;;;59251;620761.74;1130793.51;2013-12-07T00:00:00
3707776;549886;Stшнteћ;;;;;15776;Stшнteћ;;;и.p.;44;;;59251;620592.67;1130922.92;2013-12-07T00:00:00
