Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
17083788;543098;Laènov;;;;;78867;Laènov;;;è.p.;1;;;75612;496153.48;1172575.68;2013-12-03T00:00:00
17083796;543098;Laènov;;;;;78867;Laènov;;;è.p.;2;;;75612;495879.26;1173191.26;2013-12-03T00:00:00
17083800;543098;Laènov;;;;;78867;Laènov;;;è.p.;3;;;75612;496273.66;1173120.35;2025-06-20T00:00:00
17083826;543098;Laènov;;;;;78867;Laènov;;;è.p.;5;;;75612;496023.69;1173139.98;2013-12-03T00:00:00
17083834;543098;Laènov;;;;;78867;Laènov;;;è.p.;6;;;75612;496037.15;1173147.96;2013-12-03T00:00:00
17083842;543098;Laènov;;;;;78867;Laènov;;;è.p.;7;;;75612;496059.10;1172864.67;2023-03-14T00:00:00
17083851;543098;Laènov;;;;;78867;Laènov;;;è.p.;8;;;75612;496575.51;1171097.67;2013-12-03T00:00:00
17083869;543098;Laènov;;;;;78867;Laènov;;;è.p.;9;;;75612;496359.79;1172161.65;2013-12-03T00:00:00
17083877;543098;Laènov;;;;;78867;Laènov;;;è.p.;10;;;75612;495879.51;1172986.27;2013-12-03T00:00:00
17083885;543098;Laènov;;;;;78867;Laènov;;;è.p.;11;;;75612;496155.93;1172832.31;2013-12-03T00:00:00
17083893;543098;Laènov;;;;;78867;Laènov;;;è.p.;12;;;75612;496229.38;1172748.32;2022-10-21T00:00:00
17083907;543098;Laènov;;;;;78867;Laènov;;;è.p.;13;;;75612;496260.91;1172704.49;2013-12-03T00:00:00
17083915;543098;Laènov;;;;;78867;Laènov;;;è.p.;14;;;75612;496247.09;1172122.77;2013-12-03T00:00:00
17083931;543098;Laènov;;;;;78867;Laènov;;;è.p.;16;;;75612;496279.64;1172491.84;2013-12-03T00:00:00
17083940;543098;Laènov;;;;;78867;Laènov;;;è.p.;17;;;75612;496232.12;1172422.75;2013-12-03T00:00:00
17083958;543098;Laènov;;;;;78867;Laènov;;;è.p.;18;;;75612;496334.55;1172329.14;2022-10-21T00:00:00
17083966;543098;Laènov;;;;;78867;Laènov;;;è.p.;19;;;75612;496370.13;1172258.54;2022-10-21T00:00:00
17083974;543098;Laènov;;;;;78867;Laènov;;;è.p.;20;;;75612;496249.12;1172278.20;2013-12-03T00:00:00
17083982;543098;Laènov;;;;;78867;Laènov;;;è.p.;21;;;75612;496396.86;1172211.70;2013-12-03T00:00:00
17083991;543098;Laènov;;;;;78867;Laènov;;;è.p.;22;;;75612;496227.25;1172643.65;2013-12-03T00:00:00
17084008;543098;Laènov;;;;;78867;Laènov;;;è.p.;23;;;75612;496351.36;1172121.00;2022-01-12T00:00:00
17084016;543098;Laènov;;;;;78867;Laènov;;;è.p.;24;;;75612;496416.76;1172187.28;2013-12-03T00:00:00
