Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
16819641;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;1;;;41201;759707.55;989332.31;2013-12-04T00:00:00
16819659;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;2;;;41201;759695.78;989394.72;2013-12-04T00:00:00
16819667;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;3;;;41201;759692.14;989417.43;2013-12-04T00:00:00
16819675;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;4;;;41201;759651.08;989423.74;2013-12-04T00:00:00
16819683;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;6;;;41201;759658.00;989460.68;2013-12-04T00:00:00
16819691;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;7;;;41201;759617.21;989472.09;2013-12-04T00:00:00
16819705;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;8;;;41201;759657.94;989477.76;2013-12-04T00:00:00
16819713;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;9;;;41201;759683.01;989478.77;2013-12-04T00:00:00
16819721;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;11;;;41201;759170.29;989584.50;2013-12-04T00:00:00
16819730;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;12;;;41201;759694.04;989487.78;2013-12-04T00:00:00
16819748;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;13;;;41201;759192.42;989604.78;2013-12-04T00:00:00
16819756;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;14;;;41201;759643.77;989544.54;2013-12-04T00:00:00
16819764;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;16;;;41201;759694.26;989507.34;2013-12-04T00:00:00
16819772;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;18;;;41201;759683.19;989532.73;2013-12-04T00:00:00
16819781;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;19;;;41201;759666.53;989545.95;2021-07-28T00:00:00
16819799;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;20;;;41201;759719.38;989543.11;2013-12-04T00:00:00
16819802;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;21;;;41201;759725.52;989537.34;2013-12-04T00:00:00
16819811;542491;Malνθ;;;;;179434;Malνθ;;;θ.ev.;24;;;41201;759751.21;989555.95;2013-12-04T00:00:00
16819829;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;25;;;41201;759762.38;989578.46;2013-12-04T00:00:00
16819845;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;28;;;41201;759756.00;989525.53;2013-12-04T00:00:00
16819853;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;29;;;41201;759740.89;989511.51;2013-12-04T00:00:00
16819861;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;30;;;41201;759720.79;989503.35;2013-12-04T00:00:00
16819870;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;32;;;41201;759730.95;989474.95;2013-12-04T00:00:00
16819888;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;33;;;41201;759749.41;989476.46;2013-12-04T00:00:00
16819896;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;35;;;41201;759763.56;989503.00;2013-12-04T00:00:00
16819900;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;37;;;41201;759787.75;989518.83;2013-12-04T00:00:00
16819918;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;38;;;41201;759800.56;989531.83;2013-12-04T00:00:00
16819926;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;39;;;41201;759153.13;989406.17;2013-12-04T00:00:00
16819934;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;41;;;41201;759837.70;989528.20;2013-12-04T00:00:00
16819942;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;42;;;41201;759787.73;989476.81;2013-12-04T00:00:00
16819951;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;43;;;41201;759772.61;989452.96;2013-12-04T00:00:00
16819969;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;44;;;41201;759747.89;989443.28;2013-12-04T00:00:00
16819977;542491;Malνθ;;;;;179434;Malνθ;;;θ.p.;45;;;41201;759717.11;989439.60;2013-12-04T00:00:00
