Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
5657652;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;1;;;56601;622545.19;1067603.80;2013-11-29T00:00:00
5657661;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;2;;;56601;621872.00;1068032.01;2013-11-29T00:00:00
5657679;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;3;;;56601;622083.50;1067851.06;2013-11-29T00:00:00
5657687;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;4;;;56601;621898.67;1068005.90;2022-11-02T00:00:00
5657695;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;5;;;56601;621958.88;1067995.87;2013-11-29T00:00:00
5657709;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;6;;;56601;622111.05;1067796.44;2023-04-06T00:00:00
5657725;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;8;;;56601;622013.17;1067974.48;2013-11-29T00:00:00
5657733;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;9;;;56601;622022.76;1067952.10;2013-11-29T00:00:00
5657741;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;10;;;56601;622061.06;1067955.70;2013-11-29T00:00:00
5657750;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;11;;;56601;622072.69;1067936.70;2013-11-29T00:00:00
5657768;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;12;;;56601;622097.31;1067841.64;2013-11-29T00:00:00
5657776;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;13;;;56601;622101.81;1067829.29;2013-11-29T00:00:00
5657784;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;14;;;56601;622107.13;1067816.74;2013-11-29T00:00:00
5657792;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;15;;;56601;622145.24;1067759.54;2022-11-02T00:00:00
5657806;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;16;;;56601;622211.38;1067743.44;2013-11-29T00:00:00
5657814;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;17;;;56601;622344.88;1067815.68;2013-11-29T00:00:00
5657822;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;18;;;56601;622387.13;1067793.27;2013-11-29T00:00:00
5657831;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;19;;;56601;623090.77;1067528.79;2013-11-29T00:00:00
5657849;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;20;;;56601;622470.88;1067616.96;2013-11-29T00:00:00
5657857;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;21;;;56601;622452.44;1067621.63;2013-11-29T00:00:00
5657865;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;22;;;56601;622440.19;1067646.99;2013-11-29T00:00:00
5657873;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;23;;;56601;622399.65;1067644.66;2013-11-29T00:00:00
5657881;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;24;;;56601;622374.28;1067683.94;2013-11-29T00:00:00
5657890;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;25;;;56601;622350.31;1067682.26;2013-11-29T00:00:00
5657911;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;27;;;56601;622299.75;1067702.02;2019-03-26T00:00:00
5657920;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;28;;;56601;622282.44;1067704.05;2022-11-02T00:00:00
5657938;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;29;;;56601;622075.75;1067878.04;2013-11-29T00:00:00
5657954;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;31;;;56601;622196.88;1067679.33;2013-11-29T00:00:00
5657962;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;32;;;56601;622191.00;1067658.89;2013-11-29T00:00:00
5657971;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;33;;;56601;622167.45;1067633.54;2022-11-02T00:00:00
5657989;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;34;;;56601;622178.81;1067618.59;2013-11-29T00:00:00
5657997;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;35;;;56601;622236.31;1067393.73;2013-11-29T00:00:00
5658004;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;36;;;56601;622129.48;1067580.53;2013-11-29T00:00:00
5658021;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;38;;;56601;622159.25;1067689.73;2013-11-29T00:00:00
5658039;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;39;;;56601;622160.88;1067727.79;2022-11-02T00:00:00
5658047;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;40;;;56601;622021.87;1067840.78;2022-11-02T00:00:00
5658055;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;41;;;56601;622044.77;1067874.98;2022-11-02T00:00:00
5658063;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;42;;;56601;622036.57;1067900.82;2022-11-02T00:00:00
5658071;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;43;;;56601;622005.08;1067888.08;2022-11-02T00:00:00
5658080;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;44;;;56601;621974.63;1067877.87;2013-11-29T00:00:00
5658098;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;45;;;56601;621985.77;1067920.87;2022-11-02T00:00:00
5658101;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;46;;;56601;622129.94;1067807.65;2013-11-29T00:00:00
5658110;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;47;;;56601;621926.74;1067910.57;2020-06-05T00:00:00
5658128;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;48;;;56601;621949.00;1067940.00;2013-11-29T00:00:00
5658136;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;49;;;56601;621906.02;1067970.36;2022-11-02T00:00:00
5658144;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;50;;;56601;621877.27;1067931.74;2013-11-29T00:00:00
5658152;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;51;;;56601;621854.25;1067949.71;2013-11-29T00:00:00
5658161;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;52;;;56601;621807.08;1067971.14;2013-11-29T00:00:00
5658179;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;53;;;56601;621781.38;1067974.24;2013-11-29T00:00:00
5658187;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;54;;;56601;621827.50;1068023.90;2013-11-29T00:00:00
5658195;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;55;;;56601;621822.00;1068010.89;2013-11-29T00:00:00
5658209;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;56;;;56601;621784.75;1068020.99;2013-11-29T00:00:00
5658217;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;57;;;56601;621767.50;1067995.30;2013-11-29T00:00:00
5658233;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;59;;;56601;621742.13;1068013.46;2022-11-02T00:00:00
5658241;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;60;;;56601;622085.99;1067798.09;2013-11-29T00:00:00
5658250;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;61;;;56601;621719.50;1068032.36;2013-11-29T00:00:00
5658268;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;62;;;56601;621688.04;1068035.85;2022-11-02T00:00:00
5658276;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;63;;;56601;621671.85;1068034.60;2013-11-29T00:00:00
5658284;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;64;;;56601;621649.00;1068022.70;2013-11-29T00:00:00
5658292;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;65;;;56601;621760.69;1068037.82;2013-11-29T00:00:00
5658314;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;67;;;56601;622001.25;1068255.62;2013-11-29T00:00:00
5658322;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;68;;;56601;622297.08;1067830.85;2022-11-02T00:00:00
5658331;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;69;;;56601;622141.19;1067741.74;2013-11-29T00:00:00
5658349;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;70;;;56601;622133.38;1067781.01;2013-11-29T00:00:00
5658357;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;71;;;56601;622179.13;1067766.78;2013-11-29T00:00:00
5658365;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;72;;;56601;621886.30;1067984.75;2013-11-29T00:00:00
5658373;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;73;;;56601;621994.31;1067466.18;2013-11-29T00:00:00
5658381;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;74;;;56601;621831.11;1068058.86;2022-11-02T00:00:00
5658390;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;75;;;56601;622249.54;1067722.77;2013-11-29T00:00:00
5658403;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;76;;;56601;621741.16;1067970.10;2013-11-29T00:00:00
5658411;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;77;;;56601;622108.81;1067858.86;2013-11-29T00:00:00
5658438;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;80;;;56601;622505.78;1067613.61;2022-11-02T00:00:00
5658446;580091;Dobרםkov;;;;;27863;Dobרםkov;;;ט.p.;81;;;56601;621948.24;1067922.60;2022-11-02T00:00:00
