Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
9754601;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;1;;;51771;628159.77;1034363.47;2013-12-01T00:00:00
9754610;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;2;;;51771;628132.38;1034384.50;2013-12-01T00:00:00
9754628;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;3;;;51771;628080.69;1034371.26;2013-12-01T00:00:00
9754636;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;4;;;51771;628066.11;1034408.41;2013-12-01T00:00:00
9754644;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;5;;;51771;627945.23;1034357.23;2013-12-01T00:00:00
9754652;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;6;;;51771;627900.34;1034345.79;2013-12-01T00:00:00
9754679;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;8;;;51771;627797.51;1034365.25;2013-12-01T00:00:00
9754687;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;9;;;51771;627451.23;1034321.69;2013-12-01T00:00:00
9754695;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;10;;;51771;627729.01;1034377.40;2013-12-01T00:00:00
9754709;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;11;;;51771;627688.46;1034378.78;2013-12-01T00:00:00
9754717;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;12;;;51771;627567.25;1034353.04;2013-12-01T00:00:00
9754725;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;14;;;51771;627511.31;1034324.11;2013-12-01T00:00:00
9754733;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;15;;;51771;627479.81;1034323.94;2013-12-01T00:00:00
9754741;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;16;;;51771;627480.79;1034277.84;2013-12-01T00:00:00
9754750;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;17;;;51771;627512.42;1034285.15;2013-12-01T00:00:00
9754768;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;18;;;51771;627532.88;1034290.63;2013-12-01T00:00:00
9754776;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;19;;;51771;627546.37;1034314.85;2013-12-01T00:00:00
9754792;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;21;;;51771;627628.68;1034317.97;2013-12-01T00:00:00
9754806;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;22;;;51771;627653.10;1034306.20;2013-12-01T00:00:00
9754814;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;23;;;51771;627679.59;1034318.97;2013-12-01T00:00:00
9754822;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;24;;;51771;627702.27;1034321.20;2013-12-01T00:00:00
9754831;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;25;;;51771;627769.30;1034305.84;2013-12-01T00:00:00
9754849;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;26;;;51771;627840.84;1034293.20;2013-12-01T00:00:00
9754857;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;27;;;51771;627877.43;1034289.98;2013-12-01T00:00:00
9754865;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;28;;;51771;627895.17;1034312.13;2013-12-01T00:00:00
9754873;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;29;;;51771;627938.99;1034296.31;2013-12-01T00:00:00
9754881;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;30;;;51771;627957.52;1034309.00;2013-12-01T00:00:00
9754890;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;31;;;51771;627984.65;1034318.66;2013-12-01T00:00:00
9754903;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;32;;;51771;628088.31;1034325.79;2013-12-01T00:00:00
9754911;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;33;;;51771;628143.35;1034314.59;2024-10-10T00:00:00
9754938;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;35;;;51771;628210.56;1034295.75;2013-12-01T00:00:00
9754946;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;36;;;51771;628904.76;1034355.78;2013-12-01T00:00:00
9754954;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;37;;;51771;628251.37;1034287.29;2013-12-01T00:00:00
9754962;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;38;;;51771;628285.52;1034271.24;2013-12-01T00:00:00
9754971;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;39;;;51771;628302.66;1034261.30;2013-12-01T00:00:00
9754989;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;40;;;51771;628323.19;1034265.32;2013-12-01T00:00:00
9754997;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;41;;;51771;628359.27;1034267.23;2013-12-01T00:00:00
9755004;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;43;;;51771;628387.81;1034244.82;2013-12-01T00:00:00
9755012;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;45;;;51771;628414.70;1034239.08;2013-12-01T00:00:00
9755021;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;46;;;51771;628446.87;1034240.95;2013-12-01T00:00:00
9755039;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;47;;;51771;628483.93;1034265.46;2013-12-01T00:00:00
9755047;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;48;;;51771;628523.57;1034250.23;2013-12-01T00:00:00
9755055;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;49;;;51771;628501.14;1034296.10;2013-12-01T00:00:00
9755063;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;50;;;51771;628536.71;1034297.34;2013-12-01T00:00:00
9755071;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;51;;;51771;628512.89;1034295.57;2013-12-01T00:00:00
9755080;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;52;;;51771;628464.38;1034298.47;2013-12-01T00:00:00
9755101;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;54;;;51771;628401.98;1034316.40;2013-12-01T00:00:00
9755128;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;56;;;51771;628374.91;1034465.85;2013-12-01T00:00:00
9755136;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;57;;;51771;628332.74;1034424.62;2013-12-01T00:00:00
9755144;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;58;;;51771;628334.78;1034322.49;2013-12-01T00:00:00
9755152;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;59;;;51771;628299.97;1034328.27;2013-12-01T00:00:00
9755161;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;60;;;51771;628278.14;1034331.26;2013-12-01T00:00:00
9755179;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;61;;;51771;627417.97;1034303.23;2013-12-01T00:00:00
9755187;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;62;;;51771;628313.28;1034327.70;2013-12-01T00:00:00
9755195;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;63;;;51771;628226.77;1034408.75;2013-12-01T00:00:00
9755209;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;64;;;51771;628212.26;1034375.67;2013-12-01T00:00:00
9755217;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;65;;;51771;628197.98;1034378.79;2013-12-01T00:00:00
9755233;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;67;;;51771;628268.24;1034360.54;2013-12-01T00:00:00
9755241;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;68;;;51771;627725.85;1034312.63;2013-12-01T00:00:00
9755250;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;69;;;51771;628249.78;1034335.45;2013-12-01T00:00:00
9755268;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;70;;;51771;627627.10;1034384.57;2013-12-01T00:00:00
9755276;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;71;;;51771;628581.82;1034300.87;2013-12-01T00:00:00
9755284;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;72;;;51771;628553.15;1034298.29;2013-12-01T00:00:00
9755292;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;73;;;51771;628304.08;1034426.48;2013-12-01T00:00:00
9755306;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;74;;;51771;627741.66;1034319.00;2013-12-01T00:00:00
9755314;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;75;;;51771;627754.86;1034278.24;2023-05-21T00:00:00
9755322;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;76;;;51771;627938.72;1034381.67;2013-12-01T00:00:00
9755331;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;77;;;51771;627701.26;1034354.47;2013-12-01T00:00:00
9755349;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;80;;;51771;627387.62;1034297.48;2013-12-01T00:00:00
9755357;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;81;;;51771;627830.90;1034234.91;2013-12-01T00:00:00
9755365;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;82;;;51771;627851.27;1034241.32;2013-12-01T00:00:00
9755373;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;83;;;51771;628237.95;1034267.07;2013-12-01T00:00:00
9755381;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;84;;;51771;628858.20;1034272.58;2013-12-01T00:00:00
9755390;576409;Králova Lhota;;;;;72613;Králova Lhota;;;è.p.;85;;;51771;629042.70;1034317.99;2013-12-01T00:00:00
