Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
24017957;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;1;;;66463;600648.67;1180135.35;2013-12-03T00:00:00
24017965;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;2;;;66463;600660.45;1180134.14;2013-12-03T00:00:00
24017973;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;3;;;66463;600677.55;1180141.74;2013-12-03T00:00:00
24017981;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;4;;;66463;600689.09;1180143.65;2013-12-03T00:00:00
24017990;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;5;;;66463;600399.76;1180309.21;2013-12-03T00:00:00
24018007;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;6;;;66463;600706.85;1180147.88;2013-12-03T00:00:00
24018015;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;7;;;66463;600726.17;1180149.94;2013-12-03T00:00:00
24018023;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;8;;;66463;600756.68;1180151.77;2013-12-03T00:00:00
24018031;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;9;;;66463;600752.19;1180180.64;2013-12-03T00:00:00
24018040;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;10;;;66463;600727.18;1180175.16;2013-12-03T00:00:00
24018058;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;11;;;66463;600703.45;1180173.10;2013-12-03T00:00:00
24018066;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;12;;;66463;600637.29;1180163.10;2013-12-03T00:00:00
24018074;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;13;;;66463;600625.17;1180162.62;2013-12-03T00:00:00
24018082;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;14;;;66463;600590.54;1180166.65;2013-12-03T00:00:00
24018091;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;15;;;66463;600576.20;1180175.23;2013-12-03T00:00:00
24018104;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;16;;;66463;600553.41;1180244.96;2013-12-03T00:00:00
24018112;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;17;;;66463;600547.12;1180273.47;2013-12-03T00:00:00
24018121;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;18;;;66463;600538.20;1180301.80;2013-12-03T00:00:00
24018139;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;19;;;66463;600502.16;1180278.97;2013-12-03T00:00:00
24018147;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;20;;;66463;600498.58;1180255.34;2013-12-03T00:00:00
24018155;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;21;;;66463;600490.61;1180237.34;2013-12-03T00:00:00
24018163;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;22;;;66463;600467.68;1180237.90;2013-12-03T00:00:00
24018171;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;23;;;66463;600550.02;1180254.60;2013-12-03T00:00:00
24018180;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;24;;;66463;600478.27;1180219.98;2013-12-03T00:00:00
24018198;584061;Unkovice;;;;;174645;Unkovice;;;и.p.;25;;;66463;600471.67;1180204.93;2013-12-03T00:00:00
