Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1709356;573370;Radim;;;;;137812;Lháò;;;è.p.;1;;;50713;666973.14;1010005.84;2013-12-04T00:00:00
1709364;573370;Radim;;;;;137812;Lháò;;;è.p.;2;;;50713;666999.27;1009930.01;2013-12-04T00:00:00
1709372;573370;Radim;;;;;137812;Lháò;;;è.p.;3;;;50713;666977.34;1009947.46;2013-12-04T00:00:00
1709381;573370;Radim;;;;;137812;Lháò;;;è.p.;5;;;50713;666937.34;1009915.28;2013-12-04T00:00:00
1709399;573370;Radim;;;;;137812;Lháò;;;è.p.;6;;;50713;666941.30;1009896.67;2013-12-04T00:00:00
1709402;573370;Radim;;;;;137812;Lháò;;;è.p.;7;;;50713;666901.94;1009890.36;2013-12-04T00:00:00
1709411;573370;Radim;;;;;137812;Lháò;;;è.p.;8;;;50713;666918.84;1009876.90;2013-12-04T00:00:00
1709429;573370;Radim;;;;;137812;Lháò;;;è.p.;9;;;50713;666919.01;1009841.46;2013-12-04T00:00:00
1709437;573370;Radim;;;;;137812;Lháò;;;è.p.;10;;;50713;666937.18;1009821.51;2013-12-04T00:00:00
1709445;573370;Radim;;;;;137812;Lháò;;;è.p.;11;;;50713;666929.86;1009777.82;2013-12-04T00:00:00
1709453;573370;Radim;;;;;137812;Lháò;;;è.p.;12;;;50713;666883.96;1009742.97;2013-12-04T00:00:00
1709461;573370;Radim;;;;;137812;Lháò;;;è.p.;13;;;50713;666922.08;1009750.51;2013-12-04T00:00:00
1709470;573370;Radim;;;;;137812;Lháò;;;è.p.;14;;;50713;666974.91;1009776.05;2013-12-04T00:00:00
1709488;573370;Radim;;;;;137812;Lháò;;;è.p.;15;;;50713;667021.73;1009847.28;2013-12-04T00:00:00
1709496;573370;Radim;;;;;137812;Lháò;;;è.p.;18;;;50713;666943.94;1009738.75;2014-03-07T00:00:00
1709518;573370;Radim;;;;;137812;Lháò;;;è.p.;20;;;50713;667108.96;1009282.21;2025-05-21T00:00:00
1709526;573370;Radim;;;;;137821;Radim;;;è.p.;1;;;50712;666292.77;1011490.00;2013-12-04T00:00:00
1709534;573370;Radim;;;;;137821;Radim;;;è.p.;2;;;50712;666344.94;1011535.66;2013-12-04T00:00:00
1709542;573370;Radim;;;;;137821;Radim;;;è.p.;3;;;50712;666300.75;1011560.82;2013-12-04T00:00:00
1709551;573370;Radim;;;;;137821;Radim;;;è.p.;4;;;50712;666263.56;1011567.93;2013-12-04T00:00:00
1709569;573370;Radim;;;;;137821;Radim;;;è.p.;5;;;50712;666234.17;1011541.01;2013-12-04T00:00:00
1709577;573370;Radim;;;;;137821;Radim;;;è.p.;6;;;50712;666319.44;1011474.93;2013-12-04T00:00:00
1709585;573370;Radim;;;;;137821;Radim;;;è.p.;7;;;50712;666250.78;1011492.80;2013-12-04T00:00:00
