Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7982577;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;1;;;78815;555615.24;1078025.53;2013-12-03T00:00:00
7982585;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;2;;;78815;554862.48;1077673.55;2013-12-03T00:00:00
7982593;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;3;;;78815;555340.73;1077898.82;2013-12-03T00:00:00
7982607;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;4;;;78815;555143.68;1077829.85;2013-12-03T00:00:00
7982615;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;5;;;78815;555046.81;1077784.81;2013-12-03T00:00:00
7982623;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;6;;;78815;555007.68;1077763.06;2024-09-23T00:00:00
7982631;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;7;;;78815;554669.41;1077730.02;2013-12-03T00:00:00
7982640;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;8;;;78815;554780.22;1077744.43;2013-12-03T00:00:00
7982658;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;9;;;78815;554919.40;1077700.95;2013-12-03T00:00:00
7982666;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;11;;;78815;555077.04;1078075.04;2013-12-03T00:00:00
7982674;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;12;;;78815;555327.21;1077799.71;2013-12-03T00:00:00
7982682;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;13;;;78815;555353.69;1077862.14;2013-12-03T00:00:00
7982691;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;14;;;78815;555392.09;1077878.58;2013-12-03T00:00:00
7982704;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;15;;;78815;554949.98;1077770.08;2013-12-03T00:00:00
7982712;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;16;;;78815;555612.00;1078001.94;2013-12-03T00:00:00
7982721;553387;Hrabìšice;;;;;46400;Hrabìšice;;;è.p.;17;;;78815;555751.09;1077960.93;2013-12-03T00:00:00
