Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
8697922;545554;Kájov;;;;;62014;Kájov;738204;U Kostela;è.p.;1;;;38221;773992.44;1182206.00;2013-12-01T00:00:00
8697931;545554;Kájov;;;;;62014;Kájov;738204;U Kostela;è.p.;2;;;38221;773963.13;1182247.25;2013-12-01T00:00:00
8697949;545554;Kájov;;;;;62014;Kájov;738271;Za Kaplièkou;è.p.;3;;;38221;774222.44;1181807.50;2013-12-01T00:00:00
8697957;545554;Kájov;;;;;62014;Kájov;738271;Za Kaplièkou;è.p.;4;;;38221;774241.69;1181809.63;2013-12-01T00:00:00
8697965;545554;Kájov;;;;;62014;Kájov;738204;U Kostela;è.p.;5;;;38221;773965.69;1182233.13;2013-12-01T00:00:00
8697973;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;6;;;38221;773990.94;1182040.38;2013-12-01T00:00:00
8697981;545554;Kájov;;;;;62014;Kájov;738204;U Kostela;è.p.;7;;;38221;773962.11;1182214.15;2013-12-01T00:00:00
8697990;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;8;;;38221;773941.25;1181880.13;2013-12-01T00:00:00
8698007;545554;Kájov;;;;;62014;Kájov;738204;U Kostela;è.p.;9;;;38221;774048.88;1182295.38;2013-12-01T00:00:00
8698015;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;10;;;38221;773944.19;1181943.75;2013-12-01T00:00:00
8698023;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;11;;;38221;773914.63;1181989.75;2013-12-01T00:00:00
8698031;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;12;;;38221;773917.28;1181942.06;2024-01-25T00:00:00
8698040;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;13;;;38221;773910.44;1181924.00;2013-12-01T00:00:00
8698058;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;14;;;38221;773915.39;1181911.37;2024-06-03T00:00:00
8698066;545554;Kájov;;;;;62014;Kájov;738310;Poutní;è.p.;15;;;38221;773877.94;1181885.50;2013-12-01T00:00:00
8698074;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;16;;;38221;773908.69;1181886.38;2013-12-01T00:00:00
8698082;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;17;;;38221;773899.13;1181791.88;2013-12-01T00:00:00
8698091;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;18;;;38221;773900.54;1181766.94;2023-01-06T00:00:00
8698104;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;19;;;38221;773902.54;1181754.62;2014-12-03T00:00:00
8698112;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;20;;;38221;773898.79;1181738.53;2013-12-01T00:00:00
8698121;545554;Kájov;;;;;62014;Kájov;738310;Poutní;è.p.;21;;;38221;773875.06;1181797.25;2013-12-01T00:00:00
8698139;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;22;;;38221;773943.13;1181785.50;2013-12-01T00:00:00
8698147;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;23;;;38221;773943.56;1181831.38;2013-12-01T00:00:00
8698155;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;24;;;38221;773838.88;1181688.38;2013-12-01T00:00:00
8698163;545554;Kájov;;;;;62014;Kájov;738263;Májová;è.p.;25;;;38221;774029.36;1181963.15;2014-07-22T00:00:00
8698171;545554;Kájov;;;;;62014;Kájov;738263;Májová;è.p.;26;;;38221;774008.61;1181920.21;2014-07-22T00:00:00
8698180;545554;Kájov;;;;;62014;Kájov;738263;Májová;è.p.;27;;;38221;774008.57;1181883.90;2023-03-15T00:00:00
8698198;545554;Kájov;;;;;62014;Kájov;738301;Kájovská;è.p.;28;;;38221;773865.63;1181712.63;2013-12-01T00:00:00
8698201;545554;Kájov;;;;;62014;Kájov;738255;Nový Køenov;è.p.;29;;;38221;774199.81;1181918.63;2013-12-01T00:00:00
8698210;545554;Kájov;;;;;62014;Kájov;738255;Nový Køenov;è.p.;30;;;38221;774227.50;1181916.88;2013-12-01T00:00:00
8698228;545554;Kájov;;;;;62014;Kájov;738255;Nový Køenov;è.p.;31;;;38221;774235.44;1181917.13;2013-12-01T00:00:00
