Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
5641195;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;1;;;56555;619016.46;1077861.63;2013-12-06T00:00:00
5641209;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;2;;;56555;618990.25;1077843.80;2013-12-06T00:00:00
5641217;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;3;;;56555;618927.11;1077863.90;2013-12-06T00:00:00
5641225;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;4;;;56555;618858.63;1077874.71;2013-12-06T00:00:00
5641233;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;5;;;56555;618874.92;1077917.65;2013-12-06T00:00:00
5641241;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;6;;;56555;618847.94;1078050.59;2013-12-06T00:00:00
5641250;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;7;;;56555;618834.49;1078146.74;2013-12-06T00:00:00
5641268;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;8;;;56555;618838.40;1078185.88;2013-12-06T00:00:00
5641284;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;10;;;56555;618858.95;1078355.37;2013-12-06T00:00:00
5641292;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;11;;;56555;618856.88;1078284.21;2013-12-06T00:00:00
5641306;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;12;;;56555;618901.13;1078216.35;2013-12-06T00:00:00
5641314;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;13;;;56555;618953.32;1078193.10;2013-12-06T00:00:00
5641322;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;14;;;56555;618911.24;1078127.05;2013-12-06T00:00:00
5641331;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;15;;;56555;618925.08;1078089.41;2013-12-06T00:00:00
5641349;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;16;;;56555;618929.30;1078053.92;2013-12-06T00:00:00
5641357;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;17;;;56555;618946.31;1078015.58;2013-12-06T00:00:00
5641365;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;18;;;56555;618944.91;1077976.36;2013-12-06T00:00:00
5641373;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;19;;;56555;619061.38;1078009.64;2013-12-06T00:00:00
5641381;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;20;;;56555;618999.27;1077903.34;2013-12-06T00:00:00
5641390;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;21;;;56555;619055.42;1077933.66;2013-12-06T00:00:00
5641403;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;22;;;56555;619051.81;1078047.10;2013-12-06T00:00:00
5641411;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;23;;;56555;619017.95;1077803.66;2013-12-06T00:00:00
5641420;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;24;;;56555;618772.54;1077803.53;2013-12-06T00:00:00
5641438;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;25;;;56555;619104.34;1077875.64;2013-12-06T00:00:00
5641446;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;26;;;56555;618794.23;1077918.57;2013-12-06T00:00:00
5641454;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;27;;;56555;618724.29;1077939.90;2013-12-06T00:00:00
5641462;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;28;;;56555;618830.50;1078010.43;2013-12-06T00:00:00
5641471;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;29;;;56555;618763.17;1078117.74;2013-12-06T00:00:00
5641489;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;30;;;56555;618722.38;1078205.52;2013-12-06T00:00:00
5641497;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;31;;;56555;618596.86;1077921.42;2013-12-06T00:00:00
5641501;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;32;;;56555;618328.27;1078301.97;2013-12-06T00:00:00
5641519;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;33;;;56555;618734.63;1077960.01;2013-12-06T00:00:00
5641527;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;34;;;56555;618763.76;1077960.10;2013-12-06T00:00:00
5641535;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;35;;;56555;618818.51;1077967.73;2013-12-06T00:00:00
5641543;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;36;;;56555;618834.68;1077971.15;2013-12-06T00:00:00
5641551;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;37;;;56555;618858.97;1077983.32;2013-12-06T00:00:00
5641560;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;38;;;56555;618861.98;1077951.05;2013-12-06T00:00:00
5641578;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;39;;;56555;618761.77;1077937.68;2013-12-06T00:00:00
5641586;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;40;;;56555;618950.17;1077897.23;2013-12-06T00:00:00
5641594;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;41;;;56555;618791.73;1078505.23;2013-12-06T00:00:00
5641608;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;42;;;56555;618719.25;1077917.91;2013-12-06T00:00:00
5641616;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;43;;;56555;618753.71;1077880.82;2013-12-06T00:00:00
5641624;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;44;;;56555;618724.87;1077858.34;2013-12-06T00:00:00
5641632;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;45;;;56555;618701.47;1077866.25;2013-12-06T00:00:00
5641641;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;46;;;56555;618738.11;1077940.82;2013-12-06T00:00:00
5641659;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;47;;;56555;618712.44;1077898.20;2013-12-06T00:00:00
5641667;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;48;;;56555;618976.44;1078275.59;2013-12-06T00:00:00
5641675;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;49;;;56555;619019.49;1078140.54;2013-12-06T00:00:00
5641683;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;50;;;56555;619018.89;1078102.31;2021-01-14T00:00:00
5641691;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;51;;;56555;618993.54;1078068.59;2013-12-06T00:00:00
5641705;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;52;;;56555;618730.01;1077831.44;2013-12-06T00:00:00
5641713;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;53;;;56555;619015.72;1077949.39;2013-12-06T00:00:00
5641721;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;54;;;56555;619016.96;1077965.18;2013-12-06T00:00:00
5641730;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;55;;;56555;618933.47;1078247.64;2013-12-06T00:00:00
5641748;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;56;;;56555;618767.85;1077828.93;2013-12-06T00:00:00
5641756;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;57;;;56555;618792.64;1077863.67;2013-12-06T00:00:00
5641764;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;58;;;56555;618914.43;1077921.64;2013-12-06T00:00:00
5641772;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;59;;;56555;619066.00;1077973.14;2013-12-06T00:00:00
5641781;580341;Hrušová;;;;;48755;Hrušová;;;è.p.;60;;;56555;618366.99;1079010.69;2013-12-06T00:00:00
